TrueClass,RamdomForest,KNN,LogisticRegression,NaiveBayes,SVM,subclass,port,proto
Normal,0,0.17142857142857143,0.173596116595643,1.532964346748201e-4,0.13729382984917082,From-Normal-Jist,80,tcp
Normal,0.006,0,0.12079684623111075,0.0016203198134365712,0.16659956941894982,From-Normal-Jist,80,tcp
Normal,0.046,0,0.07283887738427264,6.54289394123336e-5,0.10424644186367982,From-Normal-Jist,80,tcp
Normal,0.008,0,0.0503207008809643,1.495386386442075e-5,0.06117523542415915,From-Normal-Jist,443,tcp
Normal,0,0,0.06347240849845137,1.1822900337500672e-6,0.08421275602088107,From-Normal-Jist,80,tcp
Normal,0.424,0.26666666666666666,0.2173055854519147,0.009215437130404791,0.33621639496242783,From-Normal-Jist,80,tcp
Normal,0.014,0,0.04420399783590767,8.215381428197144e-5,0.04762415313263024,From-Normal-Jist,443,tcp
Normal,0,0,0.15191971639923207,2.745822976219699e-4,0.1587215147078418,From-Normal-Jist,80,tcp
Normal,0,0,0.06920696337141263,8.190796198508066e-7,0.08762713048583537,From-Normal-Jist,80,tcp
Normal,0.006,0,0.029470345053047575,9.11343462880468e-7,0.053475172684664396,From-Normal-Jist,80,tcp
Normal,0,0,0.09551589952702788,1.2847177818336585e-4,0.11071272652202724,From-Normal-Jist,80,tcp
Normal,0.004,0,0.04150132114256422,5.029993559774109e-7,0.05334099215619004,From-Normal-Jist,80,tcp
Normal,0.178,0.125,0.017624110903384116,0.0014774584285329137,0.007487334867598117,From-Normal-Jist,80,tcp
Normal,0,0.022727272727272728,0.14798330913363666,2.385414730953126e-4,0.12373906359848952,From-Normal-Jist,80,tcp
Normal,0.178,0.3333333333333333,0.24483438461450469,0.0014742713457397386,0.3461200642206653,From-Normal-Jist,80,tcp
Normal,0,0,0.09551589952702788,1.2847177818336585e-4,0.11071272652202724,From-Normal-Jist,443,tcp
Normal,0.032,0,0.05429805255747122,1.6256155550262296e-6,0.03172615039252824,To-Normal-UDP-NTP-server,123,udp
Normal,0.01,0,0.5966094927721306,0.9757212937875919,0.46135598943770706,From-Normal-Grill,53,udp
Normal,0.198,0.13333333333333333,0.24954987913735815,0.011512696576526087,0.12775124660914194,From-Normal-Grill,80,tcp
Normal,0.138,0.2,0.07614668710259742,0.014586622013112338,0.07795026594314614,From-Normal-Grill,80,tcp
Normal,0.018,0,0.10402122361804866,7.885854014879564e-4,0.11781094319934138,From-Normal-Grill,80,tcp
Normal,0.092,0,0.07151753711024222,4.728421729521911e-4,0.08521755275396492,From-Normal-Grill,80,tcp
Normal,0.056,0,0.04938306690089855,4.122443434637847e-6,0.061854359785804225,From-Normal-Grill,80,tcp
Normal,0.106,0.034482758620689655,0.19318448079539197,3.3068687045537234e-4,0.15550288138450818,From-Normal-Grill,80,tcp
Normal,0.122,0.4,0.16567553454727646,4.39904325086875e-4,0.14078188765802568,From-Normal-Grill,80,tcp
Normal,0.512,0.7058823529411765,0.30525121952562784,0.5670394454696296,0.5037792659123019,From-Normal-Grill,80,tcp
Normal,0.882,0.8,0.1583127169987999,0.004221380515405108,0.18039852206581242,From-Normal-Grill,80,tcp
Normal,0.01,0,0.039929801120303865,2.9773968119222656e-6,0.0545604340687158,From-Normal-Grill,80,tcp
Normal,0.282,0.26666666666666666,0.14035599387417885,0.14836272183359328,0.1658830694466198,From-Normal-Grill,80,tcp
Normal,0.002,0,0.03369562764266998,2.1407466595440404e-6,0.018514103164979256,From-Normal-Grill,443,tcp
Normal,0.002,0,0.07526738537272204,4.1212217148240955e-5,0.07524716945066245,From-Normal-Grill,80,tcp
Normal,0,0,0.07567280931862752,7.754008142595975e-7,0.09563280882724201,From-Normal-Grill,80,tcp
Normal,0,0,0.04803382473234319,2.469671740875999e-7,0.0704215176544456,From-Normal-Grill,80,tcp
Normal,0.076,0,0.08050589883376047,8.372730482677186e-5,0.11313278019748207,From-Normal-Grill,80,tcp
Normal,0,0.07936507936507936,0.12503947938808946,1.012188952251674e-4,0.11018143045059481,From-Normal-Grill,443,tcp
Normal,0.078,0,0.05178525638944109,3.3590022921464564e-6,0.070583040452884,From-Normal-Grill,80,tcp
Normal,0,0.061224489795918366,0.26281941416309174,2.6775716754370187e-4,0.1668231606003837,From-Normal-Grill,80,tcp
Normal,0.002,0.19791666666666666,0.3193380857413233,6.604778266612031e-4,0.2101488344702238,From-Normal-Grill,80,tcp
Normal,0.864,0.9444444444444444,0.6514558206237826,0.2162335057306246,0.7135435631361059,From-Normal-Grill,80,tcp
Normal,0.314,0.125,0.2534323827983913,0.005797047061566246,0.2873992845767893,From-Normal-Grill,80,tcp
Normal,0.114,0,0.06376248452490063,1.0573121353911692e-6,0.07669994494029164,From-Normal-Grill,80,tcp
Normal,0.05,0.058823529411764705,0.26594648287262346,0.0028824796233092626,0.32770521810066044,From-Normal-Grill,80,tcp
Normal,0,0.015151515151515152,0.09188441731462338,1.4746660511533772e-5,0.09069710235416206,From-Normal-Grill,80,tcp
Normal,0.592,0.29411764705882354,0.4148131742068424,0.11101656714989346,0.5459656548683564,From-Normal-Grill,80,tcp
Normal,0.046,0,0.21848950337395734,0.003961119144939195,0.26628857965710084,From-Normal-Grill,80,tcp
Normal,0.88,0.9333333333333333,0.8254582560623954,0.4778277659877417,0.808283260663824,From-Normal-Grill,80,tcp
Normal,0.41,0.06666666666666667,0.09760716950079051,0.0011875580181311142,0.10593763184311877,From-Normal-Grill,80,tcp
Botnet,0.976,1,0.5100325512642476,0.22244203156933937,0.4908759456076305,From-Botnet-UDP-DNS,53,udp
Botnet,0.998,1,0.9993013173169062,0.9999866463980986,0.9981621463690765,From-Botnet-TCP-Attempt,6667,tcp
Botnet,1,1,0.9988091838445095,0.9999999731693668,0.9961073714686873,From-Botnet-TCP-Attempt,6667,tcp
Botnet,0.96,1,0.9438731676815555,0.993369042095379,0.9152444422628718,From-Botnet-TCP-Attempt,6667,tcp
Botnet,0.998,1,0.9905396532619631,0.9994956940271642,0.9839505847682904,From-Botnet-TCP-Attempt,6667,tcp
Botnet,1,1,0.982577195026089,0.9999998689710015,0.9530706401700544,From-Botnet-TCP-Attempt,6667,tcp
Botnet,1,1,0.9986285743595593,0.9999969478194538,0.9965221221665788,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,1,1,0.9997986873666019,0.999999915777128,0.9992672720149711,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,0.018,0,0.06684265086919527,1.1337425305515447e-4,0.07891798326701238,From-Botnet-UDP-DNS,53,udp
Botnet,0.992,1,0.79128785996609,0.7483236076194312,0.8156429483265801,From-Botnet-UDP-DNS,53,udp
Botnet,0,0.061224489795918366,0.26281941416309174,2.6775716754370187e-4,0.1668231606003837,From-Botnet-UDP-Attempt-DNS,53,udp
Botnet,0.942,1,0.681124339682076,0.5025509840302912,0.677612034220867,From-Botnet-TCP-Attempt,6667,tcp
Botnet,0.998,1,0.9971152055614748,0.9998215478555948,0.9933418492093747,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,0.998,1,0.9983683317440767,0.9999360842356609,0.9968304411694157,From-Botnet-TCP-Attempt,6667,tcp
Botnet,0.998,1,0.998759941024315,0.999888366777128,0.9959703904306493,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,0.996,1,0.9962922411370102,0.9999992479601663,0.9940160139929795,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,0.998,1,0.9971152055614748,0.9998215478555948,0.9933418492093747,From-Botnet-TCP-Attempt,6667,tcp
Botnet,0.994,1,0.9361139454243516,0.9946994351930895,0.860402082759652,From-Botnet-UDP-DNS,53,udp
Botnet,0.966,1,0.9738038431289088,0.9258458536246315,0.9614436020262822,From-Botnet-TCP-Attempt-SPAM,25,tcp
Botnet,0.954,0.8,0.25188874570981945,0.002741616811476007,0.19562551360981628,From-Botnet-UDP-DNS,53,udp
Botnet,0.956,0.7333333333333333,0.824871689100255,0.9546989883290343,0.8436915610610809,From-Botnet-TCP-Attempt,6667,tcp
