,split_number,it_1,it_2,it_3,it_4,it_5,it_6,it_7,it_8,it_9,it_10,it_11,it_12,it_13,it_14,it_15,it_16,it_17,it_18,it_19,it_20,it_21,it_22,it_23,it_24,it_25,it_26,it_27,it_28,it_29,it_30
0,200,0.314575645756,0.306549001393,0.267746545974,0.269469660774,0.310616597126,0.261463414634,0.240351734245,0.211953792064,0.2578125,0.255381604697,0.310185185185,0.226936359151,0.29309534993,0.225726959093,0.311688311688,0.254122211445,0.232027764006,0.308980921359,0.274063537221,0.310041647385,0.286257727057,0.222441917944,0.250609458801,0.222001982161,0.290061816453,0.268827454719,0.313308687616,0.267430754537,0.201020408163,0.284765068818
1,400,0.319521178637,0.260194174757,0.218562874251,0.237254901961,0.320334261838,0.220440881764,0.258846340281,0.21047280122,0.224540486836,0.275598086124,0.317005545287,0.212765957447,0.269932756964,0.270373921381,0.315247895229,0.211800302572,0.247047244094,0.215892053973,0.226957383548,0.318853974122,0.266602502406,0.217325988983,0.210313447927,0.218687872763,0.220440881764,0.214892553723,0.214107053527,0.257086999022,0.30108541765,0.210898082745
2,600,0.293071161049,0.268656716418,0.248302618817,0.247804878049,0.303797468354,0.266666666667,0.22144638404,0.213346814965,0.21876567988,0.222,0.270244369909,0.214717741935,0.305620065026,0.26245210728,0.313780260708,0.237388724036,0.256310679612,0.22619047619,0.22022022022,0.314219114219,0.241362530414,0.220440881764,0.220551378446,0.219879518072,0.235410484669,0.21597187343,0.216458852868,0.282442748092,0.267053701016,0.220883534137
3,800,0.269780743565,0.232055063913,0.272770624702,0.297169811321,0.249512670565,0.236049382716,0.214033316507,0.214934409687,0.22333000997,0.213709677419,0.26389560174,0.221889055472,0.238630806846,0.284096271826,0.288805268109,0.231150793651,0.241498275012,0.252427184466,0.229135802469,0.27724665392,0.287864534337,0.224103585657,0.226452905812,0.222779729052,0.224428997021,0.209196563921,0.226712666338,0.242542787286,0.227658512232,0.240940254652
4,1000,0.270347453594,0.216891554223,0.315252665739,0.319554110543,0.263821532493,0.240940254652,0.221559860904,0.217980914114,0.23031496063,0.20892494929,0.239526860522,0.226546906188,0.223541048467,0.319815668203,0.283681214421,0.215863453815,0.23842364532,0.305738476011,0.233333333333,0.317991631799,0.316712834718,0.216108054027,0.228628230616,0.221110555278,0.244379276637,0.21632448673,0.225966303271,0.243998040176,0.21664994985,0.261538461538
5,1200,0.309335810497,0.296121097446,0.316033364226,0.311772917636,0.285985748219,0.228514654744,0.271593090211,0.22333000997,0.228909718796,0.212808875441,0.222666000999,0.290460370195,0.222662048491,0.31637372803,0.308768656716,0.217108554277,0.248780487805,0.286121673004,0.282319391635,0.31020027946,0.314179796108,0.210791729702,0.228061477442,0.215183509301,0.254138266796,0.212060301508,0.217762167587,0.230655495318,0.271676300578,0.282330648982
6,1400,0.313689095128,0.289110794104,0.313342631334,0.301780693533,0.270139893874,0.266859344894,0.303797468354,0.269932756964,0.269985639062,0.211538461538,0.283000949668,0.310924369748,0.259402121504,0.310553231055,0.316279069767,0.242513500245,0.295529411765,0.282442748092,0.309268747089,0.304815334268,0.316666666667,0.243323442136,0.270633397313,0.216189039718,0.272814601345,0.242245199409,0.250614250614,0.269230769231,0.279270633397,0.305750350631
7,1600,0.312558139535,0.294257237779,0.315445636958,0.298676748582,0.270973963356,0.264278799613,0.290322580645,0.271984622778,0.282588011418,0.216406643181,0.267245537868,0.29247515381,0.268011527378,0.309268747089,0.30740393627,0.247544204322,0.294339622642,0.288857006217,0.292867264998,0.304815334268,0.315252665739,0.2587890625,0.278735632184,0.266343825666,0.26833976834,0.256460263286,0.274302213667,0.268786127168,0.282847587195,0.272639691715
8,1800,0.30595964336,0.296261239943,0.308485700891,0.291151284491,0.266086115143,0.262928951184,0.304797742239,0.263386396527,0.279313632031,0.218655967904,0.262979136342,0.295454545455,0.267245537868,0.316279069767,0.294396961064,0.251590797846,0.287749287749,0.295238095238,0.275862068966,0.290444654683,0.313488372093,0.268021286889,0.293144208038,0.262645914397,0.298436759829,0.261081344374,0.281757402101,0.260658914729,0.269695505075,0.298817966903
9,2000,0.313579094727,0.299012693935,0.315151515152,0.272945699183,0.262008733624,0.293168880455,0.304,0.265129682997,0.271462829736,0.236750866766,0.257782101167,0.28380952381,0.263949539059,0.313488372093,0.293560606061,0.255111976631,0.315298507463,0.293639406982,0.265640038499,0.284761904762,0.315642458101,0.270662155631,0.29071969697,0.263490520175,0.300047326077,0.259132976132,0.28038277512,0.271676300578,0.298195631529,0.298295454545
10,2200,0.314806165343,0.309557109557,0.31084225221,0.306247064349,0.258880778589,0.304957904584,0.309713749413,0.3081232493,0.298591549296,0.220100502513,0.272115384615,0.30985915493,0.280114722753,0.31084225221,0.29598108747,0.269879518072,0.308630393996,0.294314381271,0.293699668404,0.281757402101,0.314018691589,0.293168880455,0.295807819124,0.281205164993,0.310506566604,0.258536585366,0.307333021952,0.292497625831,0.313376987839,0.293838862559
11,2400,0.314018691589,0.310055865922,0.309412861137,0.311007025761,0.263565891473,0.311772917636,0.309355900329,0.306828811974,0.302576112412,0.233183856502,0.266218164344,0.310360993905,0.301227573182,0.310697674419,0.292358803987,0.305594734368,0.310004697041,0.296860133206,0.299153339605,0.307042253521,0.309412861137,0.310344827586,0.290960451977,0.269175108538,0.310652275927,0.283932853717,0.308411214953,0.297348484848,0.310779281381,0.29598108747
12,2600,0.314165497896,0.30675990676,0.311276794035,0.310215557638,0.283524904215,0.309557109557,0.307764705882,0.307620383357,0.309557109557,0.257241040746,0.295913574448,0.306398879028,0.309846010266,0.313689095128,0.307476635514,0.303714151387,0.311444652908,0.308267164876,0.309846010266,0.31223628692,0.310344827586,0.308052434457,0.312558139535,0.25918762089,0.310861423221,0.281190019194,0.305386416862,0.309278350515,0.309557109557,0.311772917636
13,2800,0.312703583062,0.306255835668,0.310344827586,0.306542056075,0.28353221957,0.308912739151,0.311883513387,0.303655107779,0.31048951049,0.245078740157,0.285578747628,0.309846010266,0.310280373832,0.310986964618,0.306685366994,0.308988764045,0.311298640413,0.309133489461,0.311069593648,0.310360993905,0.309557109557,0.306036499766,0.307979468035,0.25784645099,0.28380952381,0.289248334919,0.303655107779,0.308768656716,0.309490416082,0.310344827586
14,3000,0.312063344201,0.308768656716,0.310344827586,0.306179775281,0.287482151356,0.307764265669,0.308052434457,0.293785310734,0.304592314902,0.253548702888,0.311421911422,0.308912739151,0.309133489461,0.309412861137,0.308912739151,0.308555399719,0.309990662932,0.308052434457,0.31048951049,0.309713749413,0.309056956116,0.306398879028,0.299389957766,0.279180562172,0.286530223703,0.291943127962,0.286121673004,0.307189542484,0.309635173059,0.309557109557
15,3200,0.312354312354,0.3092013078,0.307333021952,0.308699719364,0.291686460808,0.307908282639,0.309990662932,0.30192217534,0.304307116105,0.250611845326,0.30740393627,0.306685366994,0.306323185012,0.306902985075,0.305893358279,0.306036499766,0.309345794393,0.308267164876,0.306972391203,0.305594734368,0.307620383357,0.30314406382,0.309701492537,0.28380952381,0.284486873508,0.28503336511,0.295561850803,0.304957904584,0.308699719364,0.308768656716
16,3400,0.311712552497,0.306685366994,0.307333021952,0.3092013078,0.274867851994,0.306179775281,0.308988764045,0.305243445693,0.302631578947,0.267053701016,0.308052434457,0.308267164876,0.297551789077,0.306828811974,0.302063789869,0.290307328605,0.304592314902,0.307116104869,0.309635173059,0.310360993905,0.309345794393,0.303797468354,0.305893358279,0.269101393561,0.2758289284,0.289909995263,0.282308059132,0.307979468035,0.306466729147,0.308768656716
17,3600,0.312063344201,0.307979468035,0.307333021952,0.309635173059,0.288571428571,0.306179775281,0.308699719364,0.298352941176,0.305816135084,0.259062348961,0.3092013078,0.3092013078,0.2849002849,0.309635173059,0.276819923372,0.304307116105,0.306542056075,0.307259953162,0.309345794393,0.311444652908,0.309490416082,0.307908282639,0.306828811974,0.276849642005,0.273906775589,0.295454545455,0.277379244381,0.308912739151,0.293144208038,0.308267164876
18,3800,0.310344827586,0.304164716893,0.31048951049,0.305243445693,0.283944735588,0.309345794393,0.307116104869,0.300187617261,0.306323185012,0.272988505747,0.308555399719,0.299812030075,0.272857826711,0.309056956116,0.276290630975,0.304225352113,0.307908282639,0.309490416082,0.309780065512,0.311651848386,0.310280373832,0.299056603774,0.309345794393,0.275334608031,0.272246272246,0.278360343184,0.277804295943,0.307476635514,0.304307116105,0.298212605833
19,4000,0.31048951049,0.302717900656,0.308768656716,0.305672761369,0.287482151356,0.309490416082,0.308699719364,0.277962874822,0.303428839831,0.279025322504,0.300235294118,0.30234741784,0.27724665392,0.307189542484,0.278360343184,0.287476280835,0.305243445693,0.298774740811,0.309780065512,0.302259887006,0.307764265669,0.298535663675,0.303797468354,0.266090297791,0.260280599903,0.288825757576,0.291271347249,0.3092013078,0.291115311909,0.295004712535
20,4200,0.31048951049,0.296610169492,0.308768656716,0.301176470588,0.283803153368,0.3092013078,0.3092013078,0.285984848485,0.308411214953,0.278069756331,0.306323185012,0.300094073377,0.276687410244,0.309557109557,0.273946360153,0.306036499766,0.303655107779,0.308988764045,0.309345794393,0.296261239943,0.310135450724,0.299621928166,0.299012693935,0.265384615385,0.264023210832,0.284626368396,0.296366210477,0.305464736105,0.300094073377,0.303939962477
21,4400,0.309846010266,0.304307116105,0.299389957766,0.293950850662,0.283944735588,0.3092013078,0.310344827586,0.272727272727,0.308555399719,0.267754318618,0.300094073377,0.291390728477,0.275466284075,0.309557109557,0.273250239693,0.296610169492,0.296086751532,0.306179775281,0.309345794393,0.297067171239,0.310924369748,0.286806883365,0.300893276916,0.258001939864,0.271807228916,0.282577565632,0.305164319249,0.300187617261,0.288425047438,0.289909995263
22,4600,0.303797468354,0.302117647059,0.298731798967,0.29247515381,0.269879518072,0.309990662932,0.307476635514,0.295561850803,0.306542056075,0.260028999517,0.304735114862,0.285035629454,0.271332694151,0.31020027946,0.274641148325,0.285985748219,0.294200848656,0.3092013078,0.308912739151,0.295454545455,0.31048951049,0.290061816453,0.300610615312,0.270503597122,0.271104679209,0.281770585436,0.303058823529,0.29727187206,0.288015158693,0.289099526066
23,4800,0.308624708625,0.298774740811,0.286527514231,0.291528632276,0.273339749759,0.308411214953,0.307333021952,0.279313632031,0.285984848485,0.275631855031,0.295175023652,0.282857142857,0.275,0.31048951049,0.273381294964,0.291115311909,0.292060491493,0.3081232493,0.307979468035,0.290061816453,0.309846010266,0.277777777778,0.305529522024,0.259564164649,0.268915662651,0.280668257757,0.295701464336,0.295422369042,0.279580152672,0.288552507096
24,5000,0.296191819464,0.295561850803,0.278335724534,0.289648622982,0.259601361206,0.307620383357,0.297972654408,0.295668549906,0.288552507096,0.26389560174,0.293673276676,0.283944735588,0.264606470304,0.310634328358,0.273512476008,0.291528632276,0.28963558921,0.308699719364,0.304449648712,0.265828902852,0.307476635514,0.272727272727,0.301833568406,0.261330761813,0.272552783109,0.275035936751,0.279446828803,0.283950617284,0.291115311909,0.28666350261
25,5200,0.29702970297,0.296506137866,0.290444654683,0.28557829605,0.268858800774,0.308052434457,0.294756731223,0.281086231539,0.272291466922,0.254739912494,0.293950850662,0.274340527578,0.262342691191,0.308912739151,0.271284271284,0.290582110743,0.288151658768,0.307908282639,0.308555399719,0.263821532493,0.307333021952,0.272069464544,0.289511153299,0.266987951807,0.263640753259,0.276952563488,0.286935866983,0.28963558921,0.294339622642,0.285442435775
26,5400,0.29967120714,0.294756731223,0.289772727273,0.288561936402,0.266795553407,0.308555399719,0.286799620133,0.292867264998,0.26518804243,0.254368932039,0.292728989613,0.263513513514,0.275167785235,0.309846010266,0.272508425614,0.298212605833,0.295947219604,0.308699719364,0.305243445693,0.272069464544,0.31048951049,0.272902603664,0.294507575758,0.26673086182,0.273512476008,0.292336802271,0.262675036214,0.26518804243,0.280133396856,0.282991900905
27,5600,0.289648622982,0.299717247879,0.29219858156,0.289648622982,0.24926686217,0.307764265669,0.297450424929,0.296086751532,0.273906775589,0.273512476008,0.288151658768,0.275598086124,0.258001939864,0.308699719364,0.271853986551,0.295701464336,0.280802292264,0.297972654408,0.3081232493,0.277056277056,0.310634328358,0.273471352913,0.294647086689,0.262342691191,0.268599033816,0.274735830932,0.267693789119,0.28557829605,0.295947219604,0.288561936402
28,5800,0.283674440743,0.292613636364,0.28245363766,0.285985748219,0.267053701016,0.308844174076,0.297169811321,0.294756731223,0.268656716418,0.269749518304,0.30314406382,0.271853986551,0.271853986551,0.3092013078,0.273775216138,0.297450424929,0.279580152672,0.3092013078,0.304449648712,0.264663111973,0.309846010266,0.274735830932,0.291133238502,0.260658914729,0.263640753259,0.273643783005,0.270843373494,0.299435028249,0.284085510689,0.275167785235
