"id"|"sp"|"wp"|"wnp"|"snp"|"ds"|"dm"|"dl"|"ss"|"sm"|"sl"|"modelsize"|"class"|"subclass"|"port"|"proto"|"clusterid"
1|0.0239803238368518|0.0291043246566919|0.121746259479402|0.324861651977864|0.441483910637426|0.0463209674113548|0.0122976019676163|0.320352531256405|0.179544988727198|0.000204960032793605|4879|"Normal-UDP-DNS"|"normal"|53|"udp"|1
2|0.480492813141684|0.0164271047227926|0|0|0.490759753593429|0.0102669404517454|0|0|0|0.501026694045175|487|"Normal-TCP-HTTP"|"normal"|80|"tcp"|3
3|0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|3
4|0|0.0188679245283019|0.188679245283019|0.264150943396226|0|0.0377358490566038|0.471698113207547|0|0.132075471698113|0.377358490566038|53|"Normal-TCP-HTTP"|"normal"|80|"tcp"|3
5|0|0|0.3125|0.0625|0|0|0.5|0|0.0625|0.4375|16|"Normal-TCP-HTTP"|"normal"|80|"tcp"|3
6|0.307692307692308|0|0.0769230769230769|0|0|0|0.538461538461538|0|0.153846153846154|0.384615384615385|13|"Normal-UDP-NTP-server"|"normal"|123|"udp"|3
7|0.00999083809606911|0.0227738754853628|0.07490947166354|0.392260372584093|0.438026264124602|0.0285327865276384|0.033462763404738|0.160420575018542|0.339339470354697|0.000261768683739802|22921|"Normal-UDP-DNS"|"normal"|53|"udp"|2
8|0.0543337645536869|0.0478654592496766|0.294954721862872|0.100905562742561|0.477360931435964|0|0.0232858990944373|0|0.495472186287193|0.00517464424320828|773|"Normal-TCP-HTTP"|"normal"|80|"tcp"|2
9|0.497124075595727|0|0|0.00164338537387017|0|0.500410846343468|0|0|0|0.500410846343468|1217|"Normal-TCP-HTTP"|"normal"|80|"tcp"|3
10|0.384615384615385|0|0|0|0|0|0.538461538461538|0|0.0769230769230769|0.461538461538462|13|"Normal-TCP-Jabber"|"normal"|5222|"tcp"|3
11|0.0411985018726592|0.0249687890137328|0.295880149812734|0.136079900124844|0.459425717852684|0.0137328339575531|0.0274656679151061|0|0.478152309612984|0.0224719101123595|801|"Normal-TCP-HTTP"|"normal"|80|"tcp"|2
12|0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-Jabber"|"normal"|5222|"tcp"|3
13|0|0.0952380952380952|0.238095238095238|0.0952380952380952|0|0|0.523809523809524|0|0.0476190476190476|0.476190476190476|21|"Normal-TCP-HTTP"|"normal"|443|"tcp"|3
14|0.384615384615385|0|0|0|0|0|0.538461538461538|0|0.0769230769230769|0.461538461538462|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|3
15|0.384615384615385|0|0|0|0|0|0.538461538461538|0|0|0.538461538461538|13|"Normal-TCP-HTTP"|"normal"|443|"tcp"|3
16|0|0|0|0.307692307692308|0|0|0.461538461538462|0|0.307692307692308|0.153846153846154|13|"Normal-TCP-HTTP"|"normal"|80|"tcp"|2
17|0.0367553865652725|0.0456273764258555|0.29531051964512|0.120405576679341|0.4702154626109|0|0.0304182509505703|0|0.491761723700887|0.00887198986058302|789|"Normal-TCP-HTTP"|"normal"|80|"tcp"|2
