"id"|"class"|"connection_id"|"State"|"clusterid"|"prob"
4986|"botnet"|"147.32.84.193-195.113.232.82-80-tcp"|"79.Z+R,Y.z.Z.R*Y.y.Y,Y*R.Y.Y*y*Z.Y,R0Y*r+"|3|0.756
3787|"botnet"|"147.32.84.165-208.65.144.2-25-tcp"|"21+S.S*s*s*"|1|1
4999|"botnet"|"147.32.84.191-207.126.154.10-25-tcp"|"11*R+R*s*r*"|1|1
6857|"botnet"|"147.32.84.207-65.55.33.167-443-tcp"|"88,h,y,y,y,H,y,y,H,H,y,y,H,H,y,"|3|0.936
4366|"normal"|"147.32.84.170-77.75.72.22-80-tcp"|"66.f.F.W.W.W.W,W.W.W.W."|2|0.01
353|"botnet"|"147.32.84.165-207.115.36.20-25-tcp"|"22000S,B,S*S,S*s*S,S*"|1|0.994
107|"normal"|"147.32.84.170-74.125.232.204-443-tcp"|"99*Z.I.z.Z.Z.Z+Z000"|3|0.082
7824|"botnet"|"147.32.84.207-65.54.188.94-25-tcp"|"22+s,B,s+S.S+s+s,s,S+b+R,S*S+B+S,S+s,B,S,S+S,"|1|NA
3328|"normal"|"147.32.84.134-92.123.64.169-443-tcp"|"99.z.Z*Z.Z.Z*Z.I.I.z.Z.Z,"|3|0.036
8741|"normal"|"147.32.84.170-209.85.148.105-443-tcp"|"88.H.Y+Y.y.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.h.Y+Y.H.Y+Y.H.X+I+Y,Y.H.Y+Y.y.Y+Y.y.Y+Z.Y,"|3|NA
8569|"normal"|"147.32.84.134-147.32.80.9-53-udp"|"44.U.U.U*U.U.U.U*U.U.U.S+S.b.b.d.R,U.R.v.R.U.U.U.U.U.U.U.U.u.u.u.R.U.R.R.u.R.R.d.S*S.b.b.d.S*S.b.b.d.R+U.S+S.b.b.d.R*U.U+U.U.U.R*U.S+S.b.b.d.R,R.R.R.U.R.U.u.u.R.r.r.U.U.R.R.r.R.U.R.U.R.U.u.u.u.u.u.U.U.R.U.R.U.R,R.D.U,V.R+U.R.U.U.U.R.U.R+U.R,U.R+U.R,R.A.R.R.r.R.R.R.R.r.r.R.r.r.R.U.R.R.r.U.U.R.r.r.R.R.a.R.R.A.R.S.r.R.r.R.U.R.r.U.r.r.R.R.U.R.R.R.R.u.A.R.R.D.u.r.V.U.U.v.u.u.u.u.u.u.r.r.a.S.u.R.R.r.r.R.U.R.R.R.R.R.U.R.R.a.R+U.U.R,U.r.u.D.D.D.d.r.U,U.U.R,R.R.r.U.R.u.R.R+U.R.U.r.u.D.u.U.U.D.U.U.R,R.A.U+R.U*U.U,U.U.U.U+r+S.S.b.d.R+R.a.R.U.S.U.r.V.U+U.U,U.R+R.A.R+R.d.U,U."|1|0.374
3470|"normal"|"147.32.84.164-208.43.115.82-80-tcp"|"88.Y.H.H.Y.y."|3|0.81
3325|"normal"|"147.32.84.134-74.125.232.220-80-tcp"|"99.Z*Z.Z.Y0Y.Y.w."|3|0.07
6193|"botnet"|"147.32.84.207-195.113.232.83-80-tcp"|"99+I*Z.Z*y*r*z+H*z*z+Y*z*h*"|3|0.942
2370|"botnet"|"147.32.84.165-64.18.5.11-25-tcp"|"22+b+S*S+S*S+s+S*s*B*s*s*"|1|0.998
7972|"botnet"|"147.32.84.192-213.165.64.75-25-tcp"|"22+s*s*s*S,S*"|1|1
3423|"botnet"|"147.32.84.165-74.125.113.27-25-tcp"|"22.R.S,B,R.S.R*s*S,"|1|1
