"id"|"class"|"connection_id"|"State"|"clusterid"|"prob"
4567|"botnet"|"147.32.84.191-193.105.210.21-999-tcp"|"89+I+Y00"|3|NA
5075|"botnet"|"147.32.84.165-65.55.88.22-25-tcp"|"21*R.R*R*r*R,R*r*R+s+R,R*"|1|0.992
3356|"normal"|"147.32.84.134-184.73.162.18-80-tcp"|"99*I*"|3|NA
5552|"botnet"|"147.32.84.192-168.95.5.98-25-tcp"|"21,S.R,r.r,r,R.S.R,S.S,"|1|1
3672|"botnet"|"147.32.84.165-65.55.37.120-25-tcp"|"22+s,S*S,s+r,S+r*S,r+s+s,B,S+s,s+s,R.R+B+B+s+s,s+r+s,B+s+r+s+s+r+s+s+s+S,S+S,B,S+B+S,R.S.R,S*s+B+s,s+s,S+A+s,r,r,R*r+s,S*S+s,s+"|1|0.998
564|"normal"|"147.32.84.164-74.125.232.197-443-tcp"|"99,Z.I.i.I."|3|0.02
8619|"normal"|"147.32.84.170-216.137.61.61-80-tcp"|"99.z."|3|0.174
7804|"botnet"|"147.32.84.207-65.54.165.137-80-tcp"|"88*Y,Y*"|3|0.888
770|"botnet"|"147.32.84.165-89.108.104.3-53-udp"|"99*w*w0Z+"|2|0.718
2696|"normal"|"147.32.84.170-74.125.232.206-443-tcp"|"99*z*"|3|0.174
1534|"botnet"|"147.32.84.165-46.137.9.143-80-tcp"|"88*y*y0y*Y*"|3|0.95
553|"botnet"|"147.32.84.165-118.98.202.90-6667-tcp"|"22*S000"|1|1
3789|"botnet"|"147.32.84.165-12.166.237.135-25-tcp"|"110S*"|1|NA
8081|"botnet"|"147.32.84.192-206.46.232.39-25-tcp"|"22*B*s+s*s*s+s*"|1|NA
3967|"normal"|"147.32.84.164-77.93.192.144-80-tcp"|"66.w.w."|2|NA
236|"botnet"|"147.32.84.165-65.55.92.168-25-tcp"|"22+s,S+s*s*s*S+s+S*s*s*s+s*S,S*s+s+s*S,S*s*s*B*"|1|NA
4040|"normal"|"147.32.87.36-147.32.80.9-53-udp"|"44.U*U.R+U*U.U,R.U.R,R.U*r*u*U.R.R,R.R*u*R.U.R,R.R*u*U.R.R,R.R*u*U.R.R,R.U,U.R*u*U.U.R,R.R*u*R.U.R,R.R*u*R.U.R,R.R*u+U.U*U.R.R,R.U*U.R*u*U.R.R,R."|2|0.644
8171|"botnet"|"147.32.84.191-74.125.93.27-25-tcp"|"22,S*B*B*B*s+s+s,S*B+B*s+s+"|1|0.992
5139|"botnet"|"147.32.84.204-67.201.31.224-80-tcp"|"99.Z+Z.Z+Z.Z+Z*y*Z+y+y*Y*Z+z*"|3|0.66
3282|"normal"|"147.32.84.134-77.75.76.72-80-tcp"|"88.y.y.y.Y.Z*Z.Z.z.Z.Z."|3|0.806
7184|"botnet"|"147.32.84.209-217.163.21.38-80-tcp"|"88.y.x,Y*Y.H,"|3|0.648
1817|"normal"|"147.32.84.170-91.189.92.166-80-tcp"|"88000000000000000000000000h000000000000000000000000"|2|0.304
5675|"botnet"|"147.32.84.191-98.129.184.3-25-tcp"|"11.R*R,R+R,R0"|1|NA
5850|"botnet"|"147.32.84.207-81.88.48.106-25-tcp"|"21*r*"|1|1
1717|"normal"|"147.32.84.170-74.125.232.193-443-tcp"|"990z*I*"|3|0.024
2589|"botnet"|"147.32.84.165-187.120.226.164-6667-tcp"|"22*s*s*"|1|1
3383|"botnet"|"147.32.84.165-213.165.64.100-25-tcp"|"12+R,s+s,R.S.s,b,b,b,b,b,b,b,R+R*"|1|0.998
3600|"normal"|"147.32.84.134-194.79.52.204-80-tcp"|"77.X.x.X+X.x.W,X.X,X.x.X,X.x,X.W*W.W.w.w."|3|0.054
3259|"normal"|"147.32.84.170-69.59.128.228-80-tcp"|"88,y.y.y,y.Y,y,y,Y.Y,y.y.y.y,y.Y,Y,h,y.h.y.h.H.H.h.Y.Y.Y.y.Y,y.y,y,Y.y.Y.Y.Y.y.y.y.y.Y.y.H.y.y.y."|3|NA
6093|"botnet"|"147.32.84.193-81.10.11.164-6667-tcp"|"51*v*"|1|0.99
2346|"botnet"|"147.32.84.165-207.115.36.20-25-tcp"|"22*B*s*s*b*s*S+s*s*S+s+s*b*s+s*s+S*S+B+"|1|0.998
3016|"normal"|"147.32.84.164-209.85.148.103-443-tcp"|"990Z."|3|0.012
6927|"botnet"|"147.32.84.207-212.227.15.186-25-tcp"|"11*a*"|1|0.996
2503|"botnet"|"147.32.84.165-120.63.27.163-6667-tcp"|"22*s00"|1|1
46|"normal"|"147.32.84.164-77.75.73.9-80-tcp"|"86.Y,X00"|3|0.052
7954|"botnet"|"147.32.84.205-66.94.236.34-25-tcp"|"22+S*S+s*S,S*S+B+s,S+s,s+s,s+"|1|1
2544|"botnet"|"147.32.84.165-188.173.49.47-6667-tcp"|"22+S0"|1|1
4959|"botnet"|"147.32.84.193-190.55.176.74-6667-tcp"|"22*s*s*"|1|1
295|"botnet"|"147.32.84.165-66.97.46.122-25-tcp"|"2200S+S*"|1|0.992
3478|"normal"|"147.32.84.164-2.21.108.20-80-tcp"|"99.W.W."|2|0.002
5381|"botnet"|"147.32.84.204-209.59.195.20-80-tcp"|"99.Z,Z.Z,Z+Y.Z,Y.Z,Y.Z,Y.V,Z*Y.Z+Z,z,Y.y.Z,Z.Z,Z.Z,Z.Z,Z."|3|0.182
6530|"botnet"|"147.32.84.204-95.58.42.53-6667-tcp"|"22*r*"|1|1
5540|"botnet"|"147.32.84.205-195.190.13.70-80-tcp"|"89+i+i+i+z+z+I+I+I+i+i+i+i+i+I+I+I+I+i+i+i+I+i+I+I+i+i+i+i+i+i+I+z+z+I+I+i+i+i+I+i+i+i+i+i+i+I+z,z+i+i+i+I+i+i+i+i+i+z+I+i+z+z+i+I+"|3|0.648
1671|"normal"|"147.32.84.170-77.78.99.22-80-tcp"|"75,V.V."|2|0.298
4516|"botnet"|"147.32.84.165-216.104.161.5-25-tcp"|"22+S0S*s*s+"|1|1
1852|"normal"|"147.32.84.164-74.125.232.198-443-tcp"|"99,Z."|3|0.012
2813|"normal"|"147.32.84.164-209.85.148.103-443-tcp"|"96.Z*"|3|0
3869|"botnet"|"147.32.84.165-38.96.12.249-25-tcp"|"12*r*"|1|NA
8794|"normal"|"147.32.84.170-209.85.148.96-80-tcp"|"96+W.W.W.W0Z.w.W."|2|0
5410|"botnet"|"147.32.84.207-66.246.235.179-80-tcp"|"12.z."|1|NA
289|"botnet"|"147.32.84.165-209.127.193.138-6667-tcp"|"55*e*v0"|2|0.916
5238|"botnet"|"147.32.84.207-69.64.147.243-80-tcp"|"89.Y."|3|0.688
3344|"normal"|"147.32.84.134-50.19.109.55-80-tcp"|"99+W."|3|NA
6632|"botnet"|"147.32.84.207-213.171.216.114-25-tcp"|"12*R+R,"|1|NA
8470|"botnet"|"147.32.84.205-209.85.148.105-80-tcp"|"88,y+"|3|0.97
8595|"normal"|"147.32.84.170-209.85.148.103-443-tcp"|"99*z*"|3|NA
7742|"botnet"|"147.32.84.204-66.111.4.71-25-tcp"|"22+b+b+b+S*"|1|0.996
532|"botnet"|"147.32.84.165-203.209.228.250-25-tcp"|"220S,"|1|NA
3823|"botnet"|"147.32.84.165-64.18.4.13-25-tcp"|"11*s*r*R*"|1|0.998
4423|"botnet"|"147.32.84.165-98.138.84.55-587-tcp"|"88*H*Y+y*H*y*y*y*"|3|0.842
4580|"botnet"|"147.32.84.165-74.117.116.94-80-tcp"|"88.S,y,y.y.y.Y,y.y,y."|3|0.972
