u,date_time,action,result,app_version
u2,2018-6-1_15.51.41,Label Normal,correct, simple app
u2,2018-6-1_15.50.57,Label Normal,incorrect, simple app
u2,2018-6-1_15.43.52,Label Botnet,correct, simple app
u2,2018-6-1_15.41.46,Label Normal,incorrect, simple app
u2,2018-6-1_15.40.26,Label Normal,incorrect, simple app
u2,2018-6-1_15.40.49,Label Normal,incorrect, simple app
u2,2018-6-1_15.53.44,Label Normal,correct, simple app
u2,2018-6-1_15.42.28,Label Normal,incorrect, simple app
u2,2018-6-1_15.54.12,Label Normal,correct, simple app
u2,2018-6-1_15.58.10,Label Normal,correct, simple app
u2,2018-6-1_15.50.19,Label Botnet,incorrect, simple app
u2,2018-6-1_15.53.58,Label Normal,correct, simple app
u2,2018-6-1_15.50.3,Label Botnet,correct, simple app
u2,2018-6-1_15.47.59,Label Botnet,correct, simple app
u2,2018-6-1_15.49.8,Label Normal,incorrect, simple app
u2,2018-6-1_15.46.57,Label Normal,incorrect, simple app
u2,2018-6-1_15.46.42,Label Normal,incorrect, simple app
u2,2018-6-1_15.40.15,Label Normal,incorrect, simple app
u2,2018-6-1_15.55.13,Label Botnet,correct, simple app
u2,2018-6-1_15.58.14,Label Normal,incorrect, simple app
u2,2018-6-1_15.54.38,Label Normal,correct, simple app
u2,2018-6-1_15.44.10,Label Normal,incorrect, simple app
u2,2018-6-1_15.48.20,Label Botnet,correct, simple app
u2,2018-6-1_15.43.16,Label Botnet,correct, simple app
u2,2018-6-1_15.44.50,Label Botnet,correct, simple app
u4,2018-6-1_16.0.38,Label Botnet,correct, prediction add-on
u4,2018-6-1_15.55.11,Label Normal,correct, prediction add-on
u4,2018-6-1_15.52.25,Label Normal,correct, prediction add-on
u4,2018-6-1_16.0.52,Label Botnet,correct, prediction add-on
u4,2018-6-1_15.54.41,Label Normal,correct, prediction add-on
u4,2018-6-1_15.48.26,Label Normal,correct, prediction add-on
u4,2018-6-1_15.55.32,Label Normal,incorrect, prediction add-on
u4,2018-6-1_16.1.14,Label Normal,correct, prediction add-on
u4,2018-6-1_15.46.7,Label Botnet,correct, prediction add-on
u4,2018-6-1_16.2.32,Label Normal,correct, prediction add-on
u4,2018-6-1_15.52.8,Label Normal,correct, prediction add-on
u4,2018-6-1_16.1.43,Label Normal,correct, prediction add-on
u4,2018-6-1_15.56.13,Label Normal,correct, prediction add-on
u4,2018-6-1_15.44.43,Label Botnet,correct, prediction add-on
u4,2018-6-1_15.45.0,Label Normal,incorrect, prediction add-on
u4,2018-6-1_16.1.36,Label Normal,correct, prediction add-on
u4,2018-6-1_15.51.40,Label Normal,correct, prediction add-on
u4,2018-6-1_15.54.22,Label Normal,correct, prediction add-on
u4,2018-6-1_15.50.2,Label Normal,correct, prediction add-on
u4,2018-6-1_15.55.45,Label Normal,correct, prediction add-on
u4,2018-6-1_15.55.55,Label Normal,correct, prediction add-on
u4,2018-6-1_16.1.3,Label Normal,correct, prediction add-on
u4,2018-6-1_15.53.46,Label Normal,correct, prediction add-on
u4,2018-6-1_15.54.29,Label Normal,correct, prediction add-on
u4,2018-6-1_16.1.50,Label Normal,correct, prediction add-on
u4,2018-6-1_15.59.31,Label Normal,incorrect, prediction add-on
u4,2018-6-1_15.45.1,Label Botnet,correct, prediction add-on
u4,2018-6-1_15.53.29,Label Normal,correct, prediction add-on
u4,2018-6-1_15.45.38,Label Normal,incorrect, prediction add-on
u4,2018-6-1_15.53.6,Label Normal,correct, prediction add-on
u4,2018-6-1_15.53.56,Label Botnet,correct, prediction add-on
u4,2018-6-1_15.51.7,Label Normal,correct, prediction add-on
u4,2018-6-1_16.1.57,Label Botnet,incorrect, prediction add-on
u6,2018-6-1_15.48.18,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.52.18,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.53.31,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.59.47,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.45.58,Label Normal,incorrect, reorder add-on
u6,2018-6-1_15.45.32,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.49.49,Label Normal,correct, reorder add-on
u6,2018-6-1_15.54.24,Label Normal,correct, reorder add-on
u6,2018-6-1_15.49.30,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.59.33,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.54.52,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.58.16,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.51.33,Label Normal,correct, reorder add-on
u6,2018-6-1_15.52.31,Label Normal,correct, reorder add-on
u6,2018-6-1_15.53.52,Label Normal,correct, reorder add-on
u6,2018-6-1_15.44.20,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.40.12,Label Normal,incorrect, reorder add-on
u6,2018-6-1_15.58.46,Label Normal,incorrect, reorder add-on
u6,2018-6-1_15.56.21,Label Normal,correct, reorder add-on
u6,2018-6-1_15.57.38,Label Botnet,incorrect, reorder add-on
u6,2018-6-1_15.59.9,Label Normal,correct, reorder add-on
u6,2018-6-1_15.57.19,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.43.25,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.47.45,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.42.31,Label Botnet,correct, reorder add-on
u6,2018-6-1_15.55.26,Label Normal,incorrect, reorder add-on
u6,2018-6-1_15.55.27,Label Botnet,correct, reorder add-on
u7,2018-6-1_15.52.5,Label Botnet,correct, full app
u7,2018-6-1_16.2.4,Label Botnet,correct, full app
u7,2018-6-1_15.47.1,Label Botnet,correct, full app
u7,2018-6-1_15.51.24,Label Botnet,correct, full app
u7,2018-6-1_15.57.47,Label Normal,correct, full app
u7,2018-6-1_16.0.14,Label Normal,correct, full app
u7,2018-6-1_15.59.31,Label Normal,correct, full app
u7,2018-6-1_16.1.27,Label Botnet,correct, full app
u7,2018-6-1_16.1.20,Label Botnet,correct, full app
u7,2018-6-1_15.53.15,Label Botnet,correct, full app
u7,2018-6-1_15.43.50,Label Botnet,correct, full app
u7,2018-6-1_15.53.36,Label Botnet,correct, full app
u7,2018-6-1_16.0.54,Label Botnet,correct, full app
u7,2018-6-1_16.2.9,Label Botnet,correct, full app
u7,2018-6-1_15.50.46,Label Normal,correct, full app
u7,2018-6-1_15.58.15,Label Normal,correct, full app
u7,2018-6-1_16.1.23,Label Botnet,correct, full app
u7,2018-6-1_16.0.5,Label Normal,correct, full app
u7,2018-6-1_15.44.49,Label Botnet,correct, full app
u7,2018-6-1_16.1.51,Label Botnet,correct, full app
u7,2018-6-1_15.52.42,Label Botnet,correct, full app
u7,2018-6-1_15.58.50,Label Normal,correct, full app
u7,2018-6-1_15.44.33,Label Botnet,correct, full app
u7,2018-6-1_16.0.25,Label Botnet,correct, full app
u7,2018-6-1_15.55.26,Label Normal,correct, full app
u7,2018-6-1_15.39.55,Label Botnet,correct, full app
u7,2018-6-1_15.58.59,Label Normal,correct, full app
u7,2018-6-1_16.1.4,Label Botnet,correct, full app
u7,2018-6-1_15.52.31,Label Botnet,correct, full app
u7,2018-6-1_15.59.23,Label Normal,correct, full app
u7,2018-6-1_15.51.45,Label Botnet,correct, full app
u8,2018-6-1_16.11.40,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.12.9,Label Botnet,incorrect, prediction add-on
u8,2018-6-1_16.6.0,Label Normal,incorrect, prediction add-on
u8,2018-6-1_16.14.8,Label Normal,incorrect, prediction add-on
u8,2018-6-1_16.9.9,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.11.6,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.1.12,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.10.0,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.4.46,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.4.34,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.5.43,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.8.43,Label Botnet,correct, prediction add-on
u8,2018-6-1_15.59.43,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.13.35,Label Normal,incorrect, prediction add-on
u8,2018-6-1_16.12.56,Label Normal,incorrect, prediction add-on
u8,2018-6-1_16.10.48,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.1.24,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.2.39,Label Botnet,correct, prediction add-on
u8,2018-6-1_15.45.42,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.5.4,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.3.49,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.12.12,Label Normal,correct, prediction add-on
u8,2018-6-1_16.15.7,Label Normal,correct, prediction add-on
u8,2018-6-1_16.4.17,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.11.19,Label Botnet,correct, prediction add-on
u8,2018-6-1_16.15.28,Label Normal,correct, prediction add-on
u8,2018-6-1_15.58.44,Label Botnet,correct, prediction add-on
u9,2018-6-1_16.1.47,Label Botnet,correct, full app
u9,2018-6-1_15.55.19,Label Normal,correct, full app
u9,2018-6-1_15.47.53,Label Normal,correct, full app
u9,2018-6-1_15.51.14,Label Botnet,correct, full app
u9,2018-6-1_15.55.45,Label Normal,correct, full app
u9,2018-6-1_15.48.17,Label Normal,correct, full app
u9,2018-6-1_15.33.21,Label Botnet,correct, full app
u9,2018-6-1_16.0.50,Label Normal,correct, full app
u9,2018-6-1_15.46.10,Label Normal,correct, full app
u9,2018-6-1_15.47.6,Label Normal,correct, full app
u9,2018-6-1_15.49.19,Label Normal,incorrect, full app
u9,2018-6-1_16.2.6,Label Normal,correct, full app
u9,2018-6-1_15.52.55,Label Botnet,correct, full app
u9,2018-6-1_15.58.10,Label Botnet,correct, full app
u9,2018-6-1_15.40.24,Label Botnet,correct, full app
u9,2018-6-1_16.0.59,Label Normal,correct, full app
u9,2018-6-1_15.54.29,Label Normal,correct, full app
u9,2018-6-1_15.32.35,Label Botnet,correct, full app
u9,2018-6-1_15.43.25,Label Botnet,correct, full app
u9,2018-6-1_15.44.5,Label Botnet,correct, full app
u10,2018-6-1_22.32.24,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.22.13,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.35.32,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.36.26,Label Botnet,incorrect, prediction add-on
u10,2018-6-1_22.33.15,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.25.36,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.31.5,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.34.7,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.36.52,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.27.15,Label Normal,incorrect, prediction add-on
u10,2018-6-1_22.40.22,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.40.54,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.38.55,Label Normal,incorrect, prediction add-on
u10,2018-6-1_22.35.49,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.23.31,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.41.54,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.40.2,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.41.24,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.29.20,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.39.46,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.37.30,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.35.7,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.26.42,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.34.29,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.37.52,Label Normal,incorrect, prediction add-on
u10,2018-6-1_22.31.52,Label Botnet,correct, prediction add-on
u10,2018-6-1_22.28.2,Label Botnet,correct, prediction add-on
u12,2018-6-1_15.55.45,Label Normal,incorrect, simple app
u12,2018-6-1_16.0.19,Label Normal,incorrect, simple app
u12,2018-6-1_15.48.31,Label Botnet,correct, simple app
u12,2018-6-1_15.56.37,Label Normal,incorrect, simple app
u12,2018-6-1_15.53.13,Label Botnet,correct, simple app
u12,2018-6-1_15.56.17,Label Botnet,correct, simple app
u12,2018-6-1_15.55.20,Label Botnet,correct, simple app
u12,2018-6-1_15.57.16,Label Botnet,correct, simple app
u12,2018-6-1_15.56.53,Label Botnet,correct, simple app
u12,2018-6-1_15.54.37,Label Normal,incorrect, simple app
u12,2018-6-1_15.58.17,Label Botnet,correct, simple app
u12,2018-6-1_15.54.5,Label Botnet,correct, simple app
u12,2018-6-1_15.55.56,Label Botnet,correct, simple app
u12,2018-6-1_15.57.40,Label Botnet,correct, simple app
u12,2018-6-1_15.49.0,Label Normal,incorrect, simple app
u12,2018-6-1_15.53.42,Label Botnet,correct, simple app
u12,2018-6-1_15.53.28,Label Normal,incorrect, simple app
u12,2018-6-1_15.48.7,Label Botnet,correct, simple app
u12,2018-6-1_15.49.32,Label Normal,incorrect, simple app
u12,2018-6-1_15.57.58,Label Normal,incorrect, simple app
u12,2018-6-1_15.57.26,Label Botnet,correct, simple app
u12,2018-6-1_15.59.40,Label Normal,correct, simple app
u12,2018-6-1_15.48.22,Label Botnet,correct, simple app
u12,2018-6-1_15.54.54,Label Botnet,correct, simple app
u12,2018-6-1_15.49.14,Label Normal,incorrect, simple app
u12,2018-6-1_16.0.43,Label Normal,correct, simple app
u12,2018-6-1_15.48.5,Label Normal,incorrect, simple app
u13,2018-6-1_16.4.38,Label Normal,correct, reorder add-on
u13,2018-6-1_16.5.6,Label Normal,incorrect, reorder add-on
u13,2018-6-1_16.4.20,Label Botnet,incorrect, reorder add-on
