"count_of_data"|"iteration_1"|"iteration_2"|"iteration_3"|"iteration_4"|"iteration_5"|"iteration_6"|"iteration_7"|"iteration_8"|"iteration_9"|"iteration_10"|"iteration_11"|"iteration_12"|"iteration_13"|"iteration_14"|"iteration_15"|"iteration_16"|"iteration_17"|"iteration_18"|"iteration_19"|"iteration_20"|"iteration_21"|"iteration_22"|"iteration_23"|"iteration_24"|"iteration_25"|"iteration_26"|"iteration_27"|"iteration_28"|"iteration_29"|"iteration_30"
200|0.973913043478261|0.990384615384615|0.985074626865672|0.980769230769231|0.97737556561086|0.958762886597938|0.969387755102041|0.971428571428571|0.96875|0.978494623655914|0.982300884955752|0.950276243093923|0.97196261682243|0.985507246376811|0.984924623115578|0.965853658536585|0.99009900990099|0.985645933014354|0.986046511627907|0.96943231441048|0.979381443298969|0.984455958549223|0.968085106382979|0.985781990521327|0.979591836734694|0.975369458128079|0.977777777777778|0.974093264248705|0.963730569948187|0.974093264248705
400|0.969162995594714|0.972704714640198|0.964200477326969|0.969267139479905|0.968523002421308|0.969543147208122|0.964824120603015|0.977886977886978|0.964285714285714|0.968586387434555|0.966507177033493|0.957178841309824|0.969837587006961|0.976076555023923|0.971867007672634|0.959568733153639|0.980676328502415|0.977215189873418|0.981220657276995|0.972727272727273|0.980861244019139|0.956743002544529|0.970731707317073|0.969411764705882|0.972292191435768|0.968421052631579|0.977556109725686|0.970588235294118|0.952631578947368|0.960629921259842
600|0.970059880239521|0.966216216216216|0.97339593114241|0.973643410852713|0.966074313408724|0.962108731466227|0.965058236272879|0.972972972972973|0.954225352112676|0.966608084358524|0.973941368078176|0.953301127214171|0.974603174603175|0.971337579617835|0.969004893964111|0.962457337883959|0.973941368078176|0.976351351351351|0.968051118210863|0.968652037617555|0.963815789473684|0.958263772954925|0.960655737704918|0.962233169129721|0.961214165261383|0.956834532374101|0.97171381031614|0.963087248322148|0.958263772954925|0.964285714285714
800|0.96551724137931|0.959792477302205|0.966903073286052|0.964028776978417|0.959899749373434|0.957961783439491|0.960408684546616|0.958698372966208|0.954081632653061|0.965968586387435|0.970731707317073|0.954151177199504|0.964848484848485|0.975845410628019|0.970223325062035|0.961439588688946|0.968553459119497|0.968071519795658|0.968523002421308|0.962441314553991|0.963885429638854|0.95959595959596|0.963680387409201|0.959697732997481|0.958974358974359|0.958389261744966|0.961006289308176|0.951672862453532|0.957286432160804|0.961240310077519
1000|0.967863894139887|0.958592132505176|0.960614793467819|0.965583173996176|0.965587044534413|0.960824742268041|0.950515463917526|0.957383548067393|0.961347869177403|0.966244725738396|0.958120531154239|0.950050968399592|0.961271102284012|0.96325719960278|0.965863453815261|0.952978056426332|0.966565349544073|0.97165991902834|0.967867575462512|0.959770114942529|0.961576354679803|0.961194029850746|0.964112512124151|0.962226640159046|0.951794871794872|0.952380952380952|0.955465587044534|0.949596774193548|0.955465587044534|0.955440414507772
1200|0.967792615868028|0.968120805369127|0.957792207792208|0.961881589618816|0.957555178268251|0.970464135021097|0.946917808219178|0.949748743718593|0.960135708227311|0.964788732394366|0.959459459459459|0.951505016722408|0.952539550374688|0.957676348547718|0.960404380791912|0.953271028037383|0.963895885810244|0.961306964746346|0.961380443714051|0.958502847843775|0.958881578947368|0.957393483709273|0.955810147299509|0.954881050041017|0.953953084274544|0.957205240174673|0.953316953316953|0.946218487394958|0.96523178807947|0.96137339055794
1400|0.956819739547635|0.956458635703919|0.96105702364395|0.958885017421603|0.957971014492754|0.956965718453684|0.94775570272259|0.959361393323658|0.963872832369942|0.969380134428678|0.957602339181287|0.947519769949677|0.955266955266955|0.970464135021097|0.963493199713672|0.95040710584752|0.963016678752719|0.957787481804949|0.963015647226173|0.95448079658606|0.955523672883788|0.959269662921348|0.9565816678153|0.950980392156863|0.949745083758194|0.94973743435859|0.954992967651195|0.947662247034194|0.959885386819484|0.957494407158837
1600|0.962287104622871|0.969470404984424|0.960293219303604|0.95800365185636|0.958280657395702|0.955597248280175|0.946760744066709|0.96136795440152|0.959145191703331|0.968831168831169|0.966434452184927|0.961611076148521|0.955652717051843|0.967336683417085|0.962073324905183|0.953354632587859|0.968888888888889|0.952986022871665|0.960709759188847|0.95491043854231|0.96608040201005|0.958616429894997|0.957590657652121|0.949532710280374|0.957286432160804|0.949040370615486|0.950757575757576|0.948148148148148|0.961394769613948|0.957854406130268
1800|0.960869565217391|0.95449500554939|0.960043787629995|0.962243797195253|0.953846153846154|0.967528893780958|0.947957470621153|0.954107648725212|0.957954545454546|0.958451906659078|0.964490263459336|0.962380685008422|0.963908939478068|0.959955506117909|0.956822107081174|0.949886104783599|0.956175298804781|0.955291454442558|0.96781479390175|0.952590959206174|0.960718294051627|0.956521739130435|0.95856052344602|0.952747252747253|0.95115103874228|0.964037122969838|0.952058657642414|0.961832061068702|0.966465090709181|0.956130483689539
2000|0.958863858961802|0.957436154231347|0.956043956043956|0.969579913085466|0.957544757033248|0.966416040100251|0.952285283776997|0.952380952380952|0.955253896430367|0.960081883316274|0.954891028890015|0.963451776649746|0.952284263959391|0.95995995995996|0.956521739130435|0.949275362318841|0.947959183673469|0.951466127401416|0.962512664640324|0.965041851304776|0.951947395042994|0.958459979736575|0.953582240161453|0.954545454545454|0.95630585898709|0.955114822546973|0.961770623742455|0.950276243093923|0.95493670886076|0.956743002544529
2200|0.959429335711101|0.955855855855856|0.954012623985573|0.960706401766004|0.951981351981352|0.964351005484461|0.952903520804755|0.952558139534884|0.957681692732291|0.957575757575758|0.962859795728876|0.961063627730294|0.963844393592677|0.966109353818346|0.954248366013072|0.951321279554937|0.949355432780847|0.954460966542751|0.965201465201465|0.954484001802614|0.951642335766423|0.96697247706422|0.954856361149111|0.953749438706781|0.951992753623188|0.954502369668246|0.953703703703704|0.954401805869075|0.962792834175471|0.952380952380952
2400|0.960760016522098|0.953286482017362|0.956665290961618|0.957271980279375|0.953806672369547|0.963528413910093|0.9625|0.951935346660995|0.955160744500846|0.964406779661017|0.963404255319149|0.950554134697357|0.957065443934973|0.958540630182421|0.952705581593524|0.950342465753425|0.947413061916879|0.958315789473684|0.962399662019434|0.954811715481172|0.961104140526976|0.963056255247691|0.954909397387274|0.953449709060682|0.954601226993865|0.954214805305948|0.96037494674052|0.955839867932315|0.955789473684211|0.95221843003413
2600|0.959511077158136|0.9534706331045|0.956014013234722|0.956756756756757|0.954863813229572|0.965384615384615|0.961642774118559|0.952305873078439|0.955223880597015|0.95747171283652|0.960998439937597|0.951209837366125|0.962934362934363|0.954878519089857|0.950832365466512|0.958925750394945|0.949843260188088|0.956247536460386|0.962587685113016|0.956221198156682|0.96171875|0.962703962703963|0.954171562867215|0.955051863234729|0.95154521175124|0.951740506329114|0.961389961389961|0.952454580595284|0.954616588419405|0.952681388012618
2800|0.959169054441261|0.955|0.954857349223546|0.954987396471012|0.952971199416697|0.962243797195254|0.953142026879767|0.952833638025594|0.955661414437523|0.963820549927641|0.95947426067908|0.961048416454314|0.952688172043011|0.95452918009309|0.955104996379435|0.951156812339332|0.948250728862974|0.963016678752719|0.961970300615719|0.954561717352415|0.962115796997856|0.962856112513523|0.952623906705539|0.955992844364937|0.952857142857143|0.952415812591508|0.9613457408733|0.952758745041471|0.95452891960713|0.962773722627737
3000|0.961142477582199|0.952061682869594|0.94850218781555|0.962863834058213|0.953535353535353|0.961486486486486|0.953741496598639|0.953566621803499|0.953448861705742|0.962334577536478|0.951072386058981|0.950774526678141|0.953691275167785|0.953897180762852|0.952284946236559|0.949846468781986|0.949440108585002|0.954483695652174|0.952833389888022|0.95234876647516|0.96057104010877|0.955071477195371|0.953867028493894|0.956169925826028|0.951417004048583|0.953252032520325|0.9498147524419|0.961940047153924|0.953480475382003|0.95374149659864
3200|0.95217117684078|0.952863018032268|0.950408035153798|0.952080706179067|0.952380952380952|0.962705436156764|0.953757225433526|0.950476190476191|0.950788643533123|0.962097283638661|0.962216624685138|0.961865742199811|0.961063627730294|0.953276889306993|0.961514195583596|0.951561504142766|0.961575103207367|0.952956134774317|0.952773375594295|0.952351097178683|0.951474785918173|0.954269267668692|0.950995889977869|0.950871632329635|0.953570284982389|0.951474785918173|0.951111111111111|0.95060164661178|0.95244094488189|0.951142131979695
