,split_number,it_1,it_2,it_3,it_4,it_5,it_6,it_7,it_8,it_9,it_10,it_11,it_12,it_13,it_14,it_15,it_16,it_17,it_18,it_19,it_20,it_21,it_22,it_23,it_24,it_25,it_26,it_27,it_28,it_29,it_30
0,200,0.869218500797,0.872843963097,0.843363561418,0.886146496815,0.854986094557,0.847274240533,0.866236905721,0.862567065621,0.862586137009,0.843137254902,0.866449511401,0.858536585366,0.873319755601,0.867256637168,0.860645688598,0.869255150555,0.853388090349,0.861088545898,0.871428571429,0.868525896414,0.8738336714,0.859490550534,0.852282157676,0.849732400165,0.844668345928,0.85257985258,0.868818961994,0.859975216853,0.873902633679,0.857609139127
1,400,0.879714172291,0.883870967742,0.861728395062,0.882610425786,0.868735083532,0.871559633028,0.868431771894,0.869672131148,0.875853756529,0.850622406639,0.879164993978,0.874897792314,0.875848303393,0.875050220972,0.880096891401,0.865635179153,0.875505254648,0.873284907183,0.880674969867,0.875453446191,0.8738336714,0.863765758438,0.862520458265,0.871215179653,0.867213114754,0.872088271353,0.872891814068,0.865903515944,0.872149837134,0.880130028444
2,600,0.880895283773,0.89041649818,0.866639643291,0.876359242851,0.864510847319,0.861042183623,0.883720930233,0.880163599182,0.888799678844,0.85975863504,0.884,0.868719611021,0.88817377313,0.884677419355,0.870693149574,0.877791311409,0.886998784933,0.877293110477,0.890694839496,0.880651731161,0.882305194805,0.878923766816,0.866694180768,0.882803060814,0.872756933116,0.86895411327,0.876477782307,0.858443708609,0.869386073342,0.875359934183
3,800,0.88612670409,0.889070146819,0.874437627812,0.878147847279,0.870491803279,0.873818331278,0.883244571897,0.874537227478,0.883137889203,0.872472141973,0.882636655949,0.878664495114,0.88638195004,0.887278582931,0.883116883117,0.878107457899,0.884287454324,0.877278250304,0.88466208013,0.884803921569,0.878285483219,0.885714285714,0.861955628595,0.883106485188,0.872192731727,0.867278797997,0.881992650061,0.8681724846,0.875102040816,0.882088943288
4,1000,0.88960776385,0.886991869919,0.878068739771,0.881781376518,0.873319755601,0.874637980968,0.884364820847,0.868845676458,0.899676375405,0.867300537412,0.883400809717,0.889342588812,0.89113719142,0.889871382637,0.878986099755,0.882521489971,0.888077858881,0.88013136289,0.890681726503,0.874543239951,0.88683044704,0.885272579333,0.878812860676,0.874294923449,0.884725050916,0.875724937862,0.884381338742,0.869991823385,0.881632653061,0.885702580909
5,1200,0.892828364222,0.886345053148,0.882281059063,0.883815735834,0.883701883702,0.882110469909,0.886086248983,0.875307629204,0.887358184765,0.880627839736,0.889605157131,0.892828364222,0.885192697769,0.886928628709,0.8811759902,0.891935483871,0.887626774848,0.888259109312,0.888619854722,0.878008975928,0.898621248986,0.877989460884,0.878267973856,0.895690696738,0.892542101043,0.881622516556,0.888165921106,0.878008975928,0.878887070376,0.883127572016
6,1400,0.884134033105,0.887617490805,0.888529886914,0.882495948136,0.875560995512,0.881578947368,0.895986895987,0.880065493246,0.89450101833,0.866638969672,0.897052886556,0.88609647345,0.884646628757,0.89435483871,0.886699507389,0.881902458686,0.895485969906,0.893219650832,0.895138609883,0.883986928105,0.887545344619,0.883400809717,0.869778869779,0.892369477912,0.893908834207,0.888521882742,0.887012464817,0.877250409165,0.888343558282,0.879508196721
7,1600,0.892307692308,0.893599673869,0.88609647345,0.889882161723,0.888799029519,0.882667764512,0.885539714868,0.880296174414,0.896245458216,0.873355263158,0.887438825449,0.890599675851,0.894394800975,0.883265306122,0.887896019496,0.886655948553,0.893425888118,0.885993485342,0.889694041868,0.878626890069,0.897028897029,0.883360522023,0.881050041017,0.889959839357,0.8873692679,0.886504333471,0.885818772857,0.878527607362,0.885972108285,0.879537953795
8,1800,0.892033966842,0.89352989353,0.893188230552,0.894012944984,0.894843686561,0.88295687885,0.894117647059,0.890333062551,0.896495517522,0.891792568395,0.887530562347,0.883435582822,0.882305194805,0.89233278956,0.881825590872,0.893755068938,0.887892376682,0.886539243595,0.891391794047,0.883625969784,0.891072891073,0.890433360589,0.880390561432,0.885020242915,0.886004056795,0.892345476873,0.897827835881,0.883000407664,0.881551795295,0.885807504078
9,2000,0.896831844029,0.901818181818,0.885458976442,0.894630601534,0.890872210953,0.898456539399,0.89115368936,0.885807504078,0.898076135898,0.875613747954,0.891605541972,0.892973856209,0.897394136808,0.900974025974,0.889885807504,0.888798701299,0.886464646465,0.888261395724,0.885483870968,0.89033836119,0.892828364222,0.88960776385,0.883491148621,0.888888888889,0.892033966842,0.888521882742,0.89396411093,0.886715566422,0.884331419196,0.897028897029
