pattern|total_frequency |label|label_frequency|
U.U,U.U,U.|1474|From-Normal-UDP-DNS--87|62|
U.U,U.U,U.|1474|From-Normal-UDP-DNS--86|1|
U.U,U.U,U.|1474|From-Normal-UDP-DNS-Oficial.DNS.Server-6|623|
U.U,U.U,U.|1474|From-Normal-UDP-DNS-Oficial.DNS.Server-1|1|
U.U,U.U,U.|1474|From-Normal-UDP-DNS-Oficial.DNS.Server-3|784|
U.U,U.U,U.|1474|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
U.U,U.U,U.|1474|From-Botnet-UDP-DNS--718|1|
U.U,U.U,U.|1474|From-Botnet-UDP-DNS--311|1|
h,h,h,h,h,|1288|From-Botnet-TCP-HTTP-Advertising-23|19|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP-LastFM-31|480|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP-LastFM-30|111|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP-Webpage-177|2|
h,h,h,h,h,|1288|From-Botnet-TCP-HTTP-CC-23|29|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP--323|24|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP-LastFM-29|597|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP-IM-1|3|
h,h,h,h,h,|1288|From-Normal-TCP-HTTP--325|23|
,h,h,h,h,h|1288|From-Botnet-TCP-HTTP-Advertising-23|19|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP-LastFM-31|480|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP-LastFM-30|111|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP-Webpage-177|2|
,h,h,h,h,h|1288|From-Botnet-TCP-HTTP-CC-23|29|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP--323|24|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP-LastFM-29|597|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP-IM-1|3|
,h,h,h,h,h|1288|From-Normal-TCP-HTTP--325|23|
.U.U,U.U,U|1025|From-Normal-UDP-DNS--87|44|
.U.U,U.U,U|1025|From-Normal-UDP-DNS-Oficial.DNS.Server-6|422|
.U.U,U.U,U|1025|From-Normal-UDP-DNS-Oficial.DNS.Server-1|1|
.U.U,U.U,U|1025|From-Normal-UDP-DNS-Oficial.DNS.Server-3|556|
.U.U,U.U,U|1025|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
.U.U,U.U,U|1025|From-Botnet-UDP-DNS--311|1|
.U,U.U,U.R|1006|From-Normal-UDP-DNS-Oficial.DNS.Server-6|419|
.U,U.U,U.R|1006|From-Normal-UDP-DNS-Oficial.DNS.Server-3|545|
.U,U.U,U.R|1006|From-Normal-UDP-DNS--87|42|
U.U,U.R.U.|662|From-Normal-UDP-DNS-Oficial.DNS.Server-6|291|
U.U,U.R.U.|662|From-Normal-UDP-DNS-Oficial.DNS.Server-3|347|
U.U,U.R.U.|662|From-Normal-UDP-DNS--87|24|
U.R.U.U,U.|655|From-Normal-UDP-DNS--85|1|
U.R.U.U,U.|655|From-Normal-UDP-DNS--87|23|
U.R.U.U,U.|655|From-Normal-UDP-DNS--86|1|
U.R.U.U,U.|655|From-Normal-UDP-DNS-Oficial.DNS.Server-6|280|
U.R.U.U,U.|655|From-Normal-UDP-DNS-Oficial.DNS.Server-3|348|
U.R.U.U,U.|655|From-Normal-UDP-DNS-Oficial.DNS.Server-2|2|
U.U.U.U,U.|625|From-Botnet-UDP-DNS--346|1|
U.U.U.U,U.|625|From-Botnet-UDP-DNS--588|1|
U.U.U.U,U.|625|From-Normal-UDP-DNS--85|1|
U.U.U.U,U.|625|From-Normal-UDP-DNS--87|29|
U.U.U.U,U.|625|From-Normal-UDP-DNS--86|2|
U.U.U.U,U.|625|From-Normal-UDP-DNS-Oficial.DNS.Server-6|217|
U.U.U.U,U.|625|From-Botnet-UDP-DNS--714|1|
U.U.U.U,U.|625|From-Normal-UDP-DNS-Oficial.DNS.Server-3|372|
U.U.U.U,U.|625|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|1|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--400|1|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--402|2|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--532|1|
.R.R.R.R.R|609|From-Normal-UDP-DNS--85|10|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--338|4|
.R.R.R.R.R|609|From-Normal-UDP-DNS-Oficial.DNS.Server-5|1|
.R.R.R.R.R|609|From-Normal-UDP-DNS-Oficial.DNS.Server-6|1|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--1507|4|
.R.R.R.R.R|609|From-Normal-UDP-DNS-Oficial.DNS.Server-1|504|
.R.R.R.R.R|609|From-Normal-UDP-DNS-Oficial.DNS.Server-3|15|
.R.R.R.R.R|609|From-Normal-UDP-DNS-Oficial.DNS.Server-2|5|
.R.R.R.R.R|609|From-Normal-UDP-DNS--86|22|
.R.R.R.R.R|609|From-Botnet-UDP-DNS--1509|4|
.R.R.R.R.R|609|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|35|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--400|1|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--402|2|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--532|2|
R.R.R.R.R.|607|From-Normal-UDP-DNS--85|9|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--338|4|
R.R.R.R.R.|607|From-Normal-UDP-DNS-Oficial.DNS.Server-5|1|
R.R.R.R.R.|607|From-Normal-UDP-DNS-Oficial.DNS.Server-6|1|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--1507|4|
R.R.R.R.R.|607|From-Normal-UDP-DNS-Oficial.DNS.Server-1|502|
R.R.R.R.R.|607|From-Normal-UDP-DNS-Oficial.DNS.Server-3|15|
R.R.R.R.R.|607|From-Normal-UDP-DNS-Oficial.DNS.Server-2|4|
R.R.R.R.R.|607|From-Normal-UDP-DNS--86|23|
R.R.R.R.R.|607|From-Botnet-UDP-DNS--1509|4|
R.R.R.R.R.|607|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|35|
U.R,U.U.U.|600|From-Normal-UDP-DNS-Oficial.DNS.Server-6|207|
U.R,U.U.U.|600|From-Normal-UDP-DNS-Oficial.DNS.Server-1|1|
U.R,U.U.U.|600|From-Normal-UDP-DNS-Oficial.DNS.Server-3|362|
U.R,U.U.U.|600|From-Normal-UDP-DNS--87|29|
U.R,U.U.U.|600|From-Normal-UDP-DNS--86|1|
.U,U.R.U.U|573|From-Normal-UDP-DNS-Oficial.DNS.Server-6|249|
.U,U.R.U.U|573|From-Normal-UDP-DNS-Oficial.DNS.Server-3|304|
.U,U.R.U.U|573|From-Normal-UDP-DNS--87|20|
U.U,U.R,U.|559|From-Normal-UDP-DNS-Oficial.DNS.Server-6|202|
U.U,U.R,U.|559|From-Normal-UDP-DNS-Oficial.DNS.Server-3|332|
U.U,U.R,U.|559|From-Normal-UDP-DNS--87|24|
U.U,U.R,U.|559|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
U,U.R.U.U,|554|From-Normal-UDP-DNS-Oficial.DNS.Server-6|244|
U,U.R.U.U,|554|From-Normal-UDP-DNS-Oficial.DNS.Server-3|290|
U,U.R.U.U,|554|From-Normal-UDP-DNS--87|20|
