"c.1.split_size_training."|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"
1|0.928743660098113|0.928397548896164|0.923037759864234|0.913162025943981|0.922189223589308|0.906601863102471|0.925575322343724|0.9131323036692|0.902837489251935|0.914253357061964|0.928643216080402|0.924831774167077|0.924059965593512|0.911646242180135|0.924603497356649|0.930610889774236|0.913784202374806|0.925619834710744|0.928043039677202|0.920961087290672|0.931181536917803|0.927137797267667|0.916659672681494|0.918279911139321|0.919399575787241|0.937081222421964|0.916014176213632|0.920821114369501|0.93324432576769|0.916825607430135
2|0.935420070513372|0.93433557974771|0.933729821580289|0.935900727428327|0.934786369140287|0.930081855388813|0.932086697832554|0.930310382330796|0.936468147635924|0.930145494767293|0.938743994509266|0.932908953848731|0.930549779589121|0.934867860187553|0.93143151744286|0.937959323192617|0.934193548387097|0.939530988274707|0.935216089002995|0.932688297606139|0.939131909121736|0.93183585313175|0.934553854050817|0.932833915042138|0.932108218478816|0.936209657032106|0.938250718998477|0.936369725385131|0.9281739577091|0.93554390120115
3|0.942478264687802|0.938485804416404|0.941155897525575|0.94047514683966|0.939238263950399|0.938897693255855|0.937236286919831|0.93960430406109|0.938085972050239|0.940788331307519|0.941557872601419|0.942025206431986|0.938995215311005|0.938786187652599|0.941702463399667|0.941978329255505|0.940928270042194|0.947861542465516|0.941155928060066|0.942096219931271|0.947969872738291|0.941022051102555|0.939935489495249|0.935492250411291|0.943369925074055|0.939246979984128|0.941759388038943|0.942775517271232|0.943014224626931|0.938800172637031
4|0.944634190185152|0.940764674205708|0.941935483870968|0.94672131147541|0.941769417694177|0.943771859026096|0.944384835479256|0.942831700801425|0.944454431062376|0.939577039274924|0.946431781412907|0.942933810375671|0.949582050153982|0.942342342342342|0.941005627155564|0.940322580645161|0.947143619861185|0.947910196113231|0.946415770609319|0.94665133150491|0.94689870593485|0.94639027877055|0.943092340730136|0.944247159090909|0.945753033547466|0.939921090387374|0.946517412935323|0.945403061675958|0.948593945907218|0.945392796496559
5|0.946484591252999|0.942907374849634|0.945321770880876|0.950697165770528|0.943305632502308|0.947948223629854|0.949604561338974|0.946876717347499|0.946622492177434|0.942629700796047|0.947378104875805|0.942239255406515|0.950223764727372|0.948271092669433|0.944991637242148|0.943910696312563|0.948530753787187|0.951098901098901|0.947339449541284|0.947292288219872|0.951511277508903|0.947020475622073|0.945234382166774|0.951682405794444|0.948349940579578|0.941665896274383|0.948382406397674|0.948582848837209|0.949779249448124|0.945742070344452
6|0.950853693047826|0.942142447966393|0.947191640231386|0.952523364485981|0.953248216297409|0.948872180451128|0.94905303030303|0.951356407857811|0.948410827124399|0.946713194378949|0.950075642965204|0.945710267229255|0.952780106174909|0.951214918063665|0.945551635358062|0.942463686096963|0.952506100994931|0.950908750234214|0.952702702702703|0.949632250256028|0.952622673434856|0.946854460093897|0.944559293365909|0.951500283072278|0.95046352654743|0.942578753192697|0.947467166979362|0.94616608931748|0.948591948591949|0.946336910872609
7|0.952742123687281|0.945266848461239|0.949204523672609|0.953748922723355|0.953711790393013|0.950009650646593|0.949451828854177|0.951651971708168|0.948501600232761|0.948543689320388|0.950930954228084|0.94571264147324|0.951876804619827|0.955559830704117|0.948930768479641|0.944358278402482|0.953272832593165|0.952710495963091|0.953227676845767|0.951282790429519|0.949708737864078|0.948415765069552|0.943643008270821|0.953867028493894|0.948821161587119|0.946979278139897|0.952591595345706|0.952335283398868|0.950620848974877|0.947187141216992
8|0.95221027479092|0.944761904761905|0.951714623571147|0.953045186640472|0.955114200595829|0.954195459032576|0.948868733180504|0.952134540750323|0.947002088097842|0.951806036615537|0.950679765803314|0.946009852216749|0.951901234567901|0.954729263240951|0.946365914786967|0.948286110560729|0.953662182361734|0.952804986642921|0.954346963080588|0.952981764415968|0.951464019851117|0.95002474022761|0.947555555555555|0.952738036507153|0.948284386433304|0.950254211942977|0.95429868719771|0.952700039416634|0.9506735340729|0.947296505953543
9|0.951746747259502|0.947703688482482|0.950753362321772|0.955058444175736|0.95682422754246|0.95328437372501|0.947910232653902|0.953097975378981|0.950937211922565|0.952517396643471|0.952361438377216|0.951034830893488|0.955239064089522|0.955027791814047|0.949037372593432|0.947636511817441|0.953251823692592|0.950756421971774|0.957080232439596|0.95226512617817|0.955546492659054|0.949492879827887|0.946992135634767|0.954207037225905|0.952902963865205|0.950913945368659|0.955754008524457|0.954074375127007|0.951738241308793|0.948967193195626
10|0.951577170587615|0.94781233526621|0.952678757556806|0.955421936554012|0.956933768558492|0.953051150089276|0.951366177866864|0.954088050314465|0.955532139093783|0.952461440946546|0.948001265689273|0.952142633719112|0.954807591485792|0.955970924195223|0.94978813559322|0.946234287525087|0.956650142390043|0.950730688935282|0.956394129979036|0.952211649064101|0.952471282537675|0.949801296799833|0.948096885813149|0.953151260504202|0.953839741585912|0.953768207726409|0.954412989175687|0.952241613543735|0.953089005235602|0.946840731070496
11|0.953563714902808|0.952360282148671|0.951735999140062|0.956011103993167|0.956229685807151|0.952072538860104|0.953159041394335|0.953749729846553|0.956399437412096|0.955003794860674|0.954879101899827|0.953309059755836|0.951740592126667|0.958748526733098|0.952245965983428|0.950542299349241|0.955350353068984|0.952165481577246|0.955442874096451|0.9557215546173|0.952329243131719|0.949488422186322|0.949283945299881|0.950373013298735|0.95533897397451|0.955663956639566|0.955729445814128|0.952421959095802|0.953150242326333|0.947956989247312
12|0.954130483188599|0.953774006252791|0.951398135818908|0.954043305346885|0.957425410660409|0.951851440008896|0.952775290957923|0.954656590353412|0.957840731652911|0.954439122201181|0.949893985046312|0.952475905616484|0.954779494067607|0.958774250440917|0.953132041460117|0.950486196490444|0.95591542959964|0.953511594363697|0.95577967416602|0.956231206147678|0.952380952380952|0.953283532166351|0.948508879705127|0.951153932332512|0.955636685474057|0.956937799043062|0.954742577560325|0.952486678507993|0.956531456028607|0.947952502496948
13|0.955244434243746|0.95512082853855|0.952238805970149|0.954509177972865|0.957473781260804|0.952969447305184|0.956170703575548|0.953219718632048|0.958730888607886|0.95623128311449|0.949804282753857|0.953751284686537|0.958711903392754|0.957746478873239|0.951539802440442|0.952424835848404|0.956965549240227|0.952261018889525|0.957039752548975|0.954090438384536|0.950948634891254|0.953191489361702|0.947840073529412|0.953789703015709|0.958048335613315|0.958448117539027|0.957194899817851|0.956113211871204|0.955999538052893|0.950017156582409
14|0.955160142348754|0.956335514574658|0.954308712121212|0.953123155036014|0.956769596199525|0.952020798865516|0.95127499102119|0.956768920999645|0.95755276262746|0.956501125992651|0.951530308443492|0.953679755466729|0.956821696205543|0.960592871426891|0.950024142926123|0.953769559032717|0.953934740882917|0.952538761983667|0.95781990521327|0.956304915696984|0.953184410646388|0.951509389113382|0.948905109489051|0.953634531009131|0.960664949660501|0.956718192627824|0.95671606680781|0.954822097378277|0.955815619775496|0.950230523702565
15|0.956351632228879|0.957079427725703|0.953778429933969|0.956055995130858|0.957376243704705|0.956331877729258|0.952169076751947|0.956214172460056|0.957812116752514|0.956958920907419|0.952684481490562|0.956142476375091|0.957559355394268|0.959515151515152|0.952001989554837|0.953683173195368|0.95503530286139|0.95465626523647|0.957546012269939|0.956948362565927|0.954240390482001|0.952919483712354|0.951442132165024|0.955125061304561|0.95954319037784|0.958624923265807|0.955821332682451|0.953972868217054|0.955282555282555|0.952925434861939
16|0.956488742727043|0.958111195734958|0.955457413249211|0.953679161933611|0.957357965329622|0.955197583689907|0.953747597693786|0.956587582029278|0.958095961514116|0.957508510906569|0.954597481877146|0.952201257861635|0.956035578144854|0.959989966135708|0.952540624193964|0.955288707204905|0.955998976720389|0.954945884721873|0.958222222222222|0.957175630894723|0.953998225826891|0.952720785013381|0.955231452124287|0.958158463690703|0.959959707882146|0.958980891719745|0.956335724172644|0.957103204642947|0.957481913948471|0.955434919833354
17|0.954354669464848|0.958025343189018|0.953862240230035|0.956759572805418|0.959915889078723|0.9566801092754|0.95603813559322|0.957868486678042|0.95739939703762|0.956110381077529|0.954401686874012|0.955379211656043|0.955440962580986|0.957775756788359|0.951082598235766|0.957905814259405|0.95667107001321|0.955169258920403|0.959338929695698|0.956395348837209|0.956373193166886|0.953500660501982|0.955274927650618|0.958060288335518|0.9573385518591|0.960463890353189|0.9550136914852|0.958699357545562|0.957048748353096|0.956407217173713
18|0.954285714285714|0.958230958230958|0.955612868196009|0.957255795256599|0.957861720987318|0.958439811701412|0.956461835216313|0.958571817934042|0.956911784694848|0.959250203748981|0.955419222903885|0.955934036226007|0.955540261527873|0.958900417733459|0.954186851211073|0.958070704302549|0.955866228070175|0.956686518678939|0.959554831704669|0.955998906805138|0.957481602616517|0.953332420966197|0.954582763337893|0.955998906805138|0.958789352790164|0.958698030634573|0.955042527339004|0.957574109328257|0.955842018650576|0.956970272838333
19|0.955734690991373|0.958297872340426|0.955451845566398|0.955549343024881|0.959195239444602|0.959519821328866|0.956160458452722|0.959615927704038|0.957945244143381|0.957122708039492|0.952636787784533|0.959103641456583|0.959817611855229|0.958531801625105|0.953367875647668|0.958841896111269|0.952190094474664|0.957683115422466|0.958056771642423|0.955257908235965|0.95810925559015|0.951034975017844|0.95723824406876|0.956336830167281|0.958274598252044|0.958651939960351|0.956204379562044|0.957488738738739|0.957004555808656|0.958757062146893
20|0.955562095350206|0.959009141846063|0.955692488262911|0.956547013515477|0.960118168389956|0.958049063724779|0.95790569686152|0.959753231492362|0.958677685950413|0.958815770189066|0.955483490566038|0.959475218658892|0.957383841373187|0.957804058986713|0.95352323838081|0.956895274774108|0.956302021403092|0.955858630297698|0.958633887825703|0.95576526098496|0.958449566877111|0.953367875647668|0.957625867414735|0.959810874704492|0.957337633778038|0.958928308552922|0.955662160197703|0.955581531268264|0.958154665089457|0.958928308552922
21|0.955575980392157|0.957846153846154|0.955355782416578|0.957763597690672|0.961432506887052|0.958364875094625|0.955859496425241|0.958576250383553|0.958045182111572|0.956654924184408|0.956962803565939|0.958858357370578|0.95884900990099|0.959087452471483|0.959750390015601|0.956989247311828|0.956481481481481|0.954503816793893|0.957867320361575|0.958397534668721|0.959671282909755|0.954051536789817|0.957325527653674|0.958899876390606|0.95845469875824|0.961344537815126|0.95577358490566|0.957134109001837|0.957998764669549|0.959214964734744
22|0.956452129362792|0.957579638226349|0.95497215592681|0.958717053032709|0.960423009133152|0.958491761723701|0.957893025524305|0.962146621945376|0.958166372816156|0.959500560268929|0.95977102878041|0.95659062103929|0.958661733955284|0.960114412839663|0.961026307242611|0.956885456885457|0.956731542544636|0.956190476190476|0.958767848548051|0.957122209731813|0.95748435745227|0.953084832904884|0.958219067591547|0.959019038399484|0.957894736842105|0.962974784551548|0.956356736242884|0.955783402755527|0.958709677419355|0.957538855952572
23|0.957486136783734|0.956945845946855|0.956983889719316|0.959027315123251|0.960711887172599|0.959373959373959|0.954134697357204|0.960774495075947|0.959139061711787|0.958061821219716|0.958589722268418|0.960132890365448|0.958249158249158|0.962655601659751|0.962762356127285|0.95811606391926|0.958333333333333|0.956363033018085|0.958964009418096|0.955491622948045|0.960629921259843|0.953955135773317|0.960080848913593|0.95974397844029|0.959400998336106|0.961034598589184|0.958650347337082|0.957102320146887|0.955872369314325|0.959838682574357
24|0.955864251802356|0.959392655367232|0.956794425087108|0.957766143106457|0.960182424136116|0.957692307692308|0.956073270496176|0.962820736603247|0.957989101775356|0.957830271216098|0.957652433667194|0.960166985562707|0.958436069038394|0.962139631816603|0.959844330444012|0.959237691900476|0.954305799648506|0.955933379597502|0.961070988197992|0.955673758865248|0.958194857442715|0.955686065136145|0.960056308287876|0.95722870272181|0.958018619357105|0.960704845814978|0.955636112549629|0.957569408067051|0.959490535998585|0.957165520888419
25|0.956213899757779|0.958472376714868|0.957142857142857|0.956664838178826|0.95921756781694|0.957555799487742|0.957804331590739|0.959955914768552|0.960340993328391|0.957462412907958|0.955592408328727|0.958974358974359|0.956068503350707|0.963706000364764|0.963031423290203|0.95841069439287|0.95725865880619|0.955240174672489|0.958964879852126|0.957494407158837|0.958579881656805|0.954241071428571|0.958564557898631|0.96025027603975|0.958486407053637|0.960163053548268|0.954759319580166|0.957813646368305|0.958132641719155|0.957264957264957
26|0.954979536152797|0.957587548638132|0.958171959721146|0.9576597382602|0.961336700990869|0.956420685647879|0.955686274509804|0.959349593495935|0.960826349639446|0.959167950693374|0.959738008090927|0.960727413426195|0.955546813532651|0.964533538936006|0.961733697774307|0.958888018794049|0.95837366892546|0.955499903679445|0.961799495830909|0.953479280688037|0.960388349514563|0.954898911353033|0.958616669904799|0.960803243869473|0.957463263727765|0.96024941543258|0.955474871010892|0.957261651518082|0.958931027706819|0.957642006636736
27|0.955946225439504|0.95709299938411|0.958647382358933|0.959349593495935|0.962536023054755|0.956344349245206|0.959439983528927|0.960475117755478|0.960990712074303|0.955095345499282|0.956147540983607|0.96029471960704|0.956898329552485|0.963551211565873|0.96170387057137|0.956880544666804|0.958196721311475|0.955745026390581|0.960327198364008|0.954713874022231|0.95692998571137|0.953985209531635|0.957700205338809|0.962597616111796|0.957494407158837|0.960739979445015|0.957087655074232|0.956841889957046|0.961371617434414|0.95535897963382
28|0.95905408364353|0.956445611731232|0.957703927492447|0.961555075593952|0.960333114179268|0.954446854663774|0.956864462447996|0.963284814251575|0.959370904325033|0.95984371608422|0.954594829459048|0.960797054364306|0.956977506005678|0.964878258995906|0.96199782844734|0.956769804696072|0.959377700950735|0.956896551724138|0.959861141245389|0.955361050328228|0.958206356116674|0.954864154250657|0.957414282594453|0.962557477556383|0.957354221061793|0.959703768242213|0.959069366652305|0.955366862617026|0.960874316939891|0.959112657677251
29|0.957152891594474|0.960553633217993|0.95790934320074|0.960493263302124|0.962395543175487|0.956180811808118|0.957006739484081|0.964401294498382|0.961484918793504|0.959521619135235|0.95539634850936|0.960626295187658|0.958488805970149|0.965009208103131|0.961111111111111|0.955195871452029|0.958841112899517|0.956819739547635|0.959686708131767|0.954975756176403|0.958457654349323|0.956077155472926|0.955147571461771|0.95988870855553|0.957804934286373|0.960520204366001|0.959725400457666|0.955617198335645|0.960204794042355|0.957142857142857
30|0.955410821643287|0.958836578752773|0.958199356913183|0.963273354695588|0.96039603960396|0.954848260547743|0.959881860694068|0.961000735835173|0.96029776674938|0.961472392638037|0.954466285145559|0.961217476681394|0.961729622266402|0.964347184656995|0.963474827245805|0.956197112991538|0.959625800098474|0.957925636007828|0.958856861295886|0.956457564575646|0.958681751106739|0.957142857142857|0.95358024691358|0.962779156327544|0.957269155206287|0.960178085580015|0.960371819960861|0.95615763546798|0.959345562716906|0.958353991075855
31|0.957009345794393|0.958476593493785|0.959491660047657|0.963256674596881|0.962532981530343|0.955696202531646|0.957283098965243|0.961791831357049|0.959340951368589|0.960758493547538|0.956983536909187|0.962012051349227|0.960705693664795|0.966562173458725|0.96353065539112|0.958344388431945|0.963273871983211|0.956658786446021|0.960763520678685|0.955216016859852|0.957097457627119|0.957305754441793|0.955136713565171|0.964569011105235|0.955567171981181|0.960364220674879|0.960231761917303|0.954916952280517|0.96|0.959747434885557
32|0.956298200514139|0.957093821510298|0.958644457208501|0.963917525773196|0.962962962962963|0.953593661573288|0.954337899543379|0.960477679840773|0.958668197474168|0.961178804193823|0.960593946316391|0.96127562642369|0.960435779816514|0.965672481710748|0.962328767123288|0.95793991416309|0.964599263664684|0.956127936597792|0.957495692130959|0.955787102224726|0.957016794762311|0.956397834140781|0.953802008608321|0.965281730221969|0.957458876914351|0.958225295303947|0.961975028376844|0.954995754316445|0.959675079779518|0.96043267862226
33|0.956143079315708|0.955437831100031|0.960099750623441|0.959480358799876|0.962457337883959|0.956946564885496|0.958385093167702|0.96221198156682|0.959476309226933|0.961349693251534|0.962573461181565|0.963736939151813|0.962270034299969|0.965305495855081|0.961694176269075|0.958436724565757|0.96405529953917|0.955343393902063|0.957658779576588|0.955406230910202|0.958165478772854|0.957972805933251|0.955576265921094|0.964640198511166|0.958423159839852|0.959344468956823|0.961893054701905|0.955315870570108|0.960302457466919|0.96278068286681
34|0.959729272419628|0.957563312799452|0.958672086720867|0.961655921275874|0.958922558922559|0.957014328557148|0.955691888207226|0.962016806722689|0.957563312799453|0.960777740529668|0.96056622851365|0.960188933873144|0.961393918688077|0.964405641370047|0.961603805640503|0.961629881154499|0.964634557089929|0.955788052649342|0.957650273224044|0.958374958374958|0.959300369996636|0.957021996615905|0.956137368242095|0.962689075630252|0.957831325301205|0.96|0.963975983989326|0.956286004744154|0.958145970252508|0.960026872690628
