"id"|"size"|"prediction"
1940|200|0.118
5225|200|0.672
2612|200|0.452
8610|200|0.546
7219|200|1
5745|200|1
478|200|0.9
2206|200|0.062
826|200|0.012
6992|200|0.892
8984|200|0.1
8137|200|0.998
3092|200|0.13
5254|200|0.934
8178|200|0.998
2809|200|0.688
7344|200|0.978
1119|200|0.674
1367|200|0.172
1643|200|1
2436|200|0.962
1841|200|1
7537|200|1
8690|200|0.406
4777|200|0.614
8575|200|0.624
6532|200|0.952
5519|200|0.994
1573|200|1
310|200|0.96
3452|200|0.274
2275|200|0.822
8817|200|0.818
5959|200|1
814|200|0.824
5784|200|0.984
1156|200|0.646
1692|200|0.028
8341|200|0.952
7412|200|0.9
1790|200|0.494
1835|200|1
8148|200|1
5152|200|0.944
6577|200|0.954
2574|200|0.992
76|200|0.354
8669|200|0.002
3538|200|0.08
44|200|0.61
6621|200|0.994
1142|200|0.066
1300|200|0.85
4202|200|0.004
2334|200|1
10|200|0.342
8143|200|0.952
3834|200|1
1917|200|0.15
8567|200|0.622
6796|200|1
1675|200|1
8047|200|1
2631|200|0.996
4950|200|0.712
3315|200|0.012
3638|200|0.618
7069|200|0.994
7403|200|0.98
8430|200|0.12
343|200|0.924
7574|200|1
8163|200|0.988
3952|200|0.262
1597|200|0.954
3364|200|0.058
4622|200|1
4024|200|0.17
4524|200|0.522
4272|200|0.998
5838|200|0.922
5747|200|0.994
213|200|0.962
4986|200|0.76
4313|200|0.198
1058|200|0.596
2687|200|0.614
5092|200|0.92
3504|200|0.034
1080|200|0.048
8879|200|0.76
3838|200|0.002
7793|200|0.992
3512|200|0.634
5805|200|1
5872|200|0.994
7325|200|0.966
7910|200|0.902
6915|200|0.866
1515|200|0.434
155|200|0.048
69|200|0.446
7826|200|1
2966|200|0.452
4685|200|1
2751|200|0.35
5402|200|0.412
7839|200|0.998
7434|200|0.984
7967|200|0.994
6582|200|1
2940|200|0.96
8483|200|1
7154|200|0.952
8819|200|0.706
1662|200|0.028
7106|200|0.946
4930|200|0.716
3464|200|0.012
