"","sp","wp","wnp","snp","ds","dm","dl","ss","sm","sl","subclass","port","proto","class"
"2659",0,0,0.153846153846154,0.230769230769231,0.538461538461538,0,0,0.538461538461538,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"3125",0.0204081632653061,0.0408163265306122,0.26530612244898,0.142857142857143,0.0408163265306122,0.469387755102041,0,0.510204081632653,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"94",0,0,0,0,0,0.5,0,0,0.5,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"5599",0.0454545454545455,0.0454545454545455,0.272727272727273,0.0454545454545455,0,0,0.5,0,0,0.5,"From-Normal-Stribrek",80,"tcp","Normal"
"1522",0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"2791",0.00775193798449612,0.0490956072351421,0.260981912144703,0.178294573643411,0.364341085271318,0.129198966408269,0.00775193798449612,0.501291989664083,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5400",0.0666666666666667,0,0.133333333333333,0.2,0,0,0.533333333333333,0,0.333333333333333,0.2,"From-Normal-Grill",80,"tcp","Normal"
"6153",0,0.0689655172413793,0.172413793103448,0.206896551724138,0.310344827586207,0.206896551724138,0,0,0.172413793103448,0.344827586206897,"From-Normal-Stribrek",80,"tcp","Normal"
"2845",0.162790697674419,0.13953488372093,0.162790697674419,0,0,0,0.511627906976744,0,0,0.511627906976744,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"4478",0,0.0487804878048781,0.0731707317073171,0.341463414634146,0,0,0.51219512195122,0,0.146341463414634,0.365853658536585,"From-Normal-Jist",80,"tcp","Normal"
"5241",0.0408163265306122,0.0612244897959184,0.102040816326531,0.26530612244898,0,0,0.510204081632653,0,0.448979591836735,0.0612244897959184,"From-Normal-Grill",80,"tcp","Normal"
"3817",0.0235294117647059,0.0705882352941176,0.223529411764706,0.164705882352941,0.0117647058823529,0.494117647058824,0,0.505882352941176,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4695",0,0,0,0,0.2,0.2,0,0,0,0.4,"From-Normal-Stribrek",80,"tcp","Normal"
"590",0,0,0,0.25,0,0,0.5,0,0.25,0.25,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"1699",0,0,0.260869565217391,0.173913043478261,0,0.521739130434783,0,0.521739130434783,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"2060",0,0,0.173913043478261,0.260869565217391,0.173913043478261,0.347826086956522,0,0.521739130434783,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"6376",0,0,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0,0,0.571428571428571,"From-Normal-Jist",80,"tcp","Normal"
"5249",0,0,0,0.2,0,0,0.6,0,0.6,0,"From-Normal-Grill",80,"tcp","Normal"
"4345",0.024390243902439,0.0487804878048781,0.341463414634146,0.0487804878048781,0,0.48780487804878,0.024390243902439,0,0,0.51219512195122,"From-Botnet-TCP-Established-SSL-To-Microsoft",443,"tcp","Botnet"
"3245",0.012987012987013,0.051948051948052,0.25974025974026,0.155844155844156,0,0.506493506493506,0,0,0,0.506493506493506,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"3667",0,0,0,0.2,0,0.6,0,0.4,0.2,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"8518",0,0.111111111111111,0.222222222222222,0,0,0,0.555555555555556,0,0,0.555555555555556,"From-Normal-Grill",443,"tcp","Normal"
"8191",0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0.428571428571429,0,0.428571428571429,0.142857142857143,"From-Normal-Jist",80,"tcp","Normal"
"3572",0,0,0.0952380952380952,0.333333333333333,0,0.380952380952381,0.142857142857143,0,0,0.523809523809524,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"1050",0.0666666666666667,0.0666666666666667,0.0666666666666667,0.2,0.133333333333333,0.4,0,0.533333333333333,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"3290",0.0769230769230769,0.153846153846154,0.153846153846154,0,0,0.538461538461538,0,0,0,0.538461538461538,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
