user,timestamp,action,app_version,data
u1,2018-6-1_15.56.11,Close Comparative Connection, prediction add-on,1
u1,2018-6-1_15.56.10,Close Comparative Connection, prediction add-on,2
u1,2018-6-1_15.57.37,Connection, prediction add-on,3
u1,2018-6-1_15.57.2,Close Comparative Connection, prediction add-on,4
u1,2018-6-1_15.56.10,Close Connection, prediction add-on,5
u1,2018-6-1_15.53.54,Connection, prediction add-on,6
u1,2018-6-1_16.0.21,Connection, prediction add-on,7
u1,2018-6-1_15.55.19,Close Comparative Connection, prediction add-on,8
u1,2018-6-1_15.59.56,Close Comparative Connection, prediction add-on,9
u1,2018-6-1_15.55.51,Filter, prediction add-on,10
u1,2018-6-1_15.57.1,Close Connection, prediction add-on,11
u1,2018-6-1_15.57.3,Close Comparative Connection, prediction add-on,12
u1,2018-6-1_15.57.27,Close Connection, prediction add-on,13
u1,2018-6-1_15.57.10,Connection, prediction add-on,14
u1,2018-6-1_15.57.10,Connection, prediction add-on,15
u1,2018-6-1_16.0.43,Close Comparative Connection, prediction add-on,16
u1,2018-6-1_16.0.21,Connection, prediction add-on,17
u1,2018-6-1_15.56.46,Connection, prediction add-on,18
u1,2018-6-1_15.54.0,Close Comparative Connection, prediction add-on,19
u1,2018-6-1_15.59.39,Connection, prediction add-on,20
u1,2018-6-1_15.53.59,Close Comparative Connection, prediction add-on,21
u1,2018-6-1_15.57.43,Close Comparative Connection, prediction add-on,22
u1,2018-6-1_15.57.24,Connection, prediction add-on,23
u1,2018-6-1_15.57.29,Close Comparative Connection, prediction add-on,24
u1,2018-6-1_15.57.55,Connection, prediction add-on,25
u1,2018-6-1_15.59.49,Filter, prediction add-on,26
u1,2018-6-1_15.54.7,Close Connection, prediction add-on,27
u1,2018-6-1_15.56.57,Connection, prediction add-on,28
u1,2018-6-1_15.56.57,Connection, prediction add-on,29
u1,2018-6-1_15.54.10,Close Comparative Connection, prediction add-on,30
u1,2018-6-1_15.59.55,Close Connection, prediction add-on,31
u1,2018-6-1_15.56.32,Close Comparative Connection, prediction add-on,32
u1,2018-6-1_15.57.15,Close Comparative Connection, prediction add-on,33
u1,2018-6-1_15.58.5,Close Comparative Connection, prediction add-on,34
u1,2018-6-1_15.57.24,Connection, prediction add-on,35
u1,2018-6-1_15.56.6,Connection, prediction add-on,36
u1,2018-6-1_16.0.43,Close Connection, prediction add-on,37
u1,2018-6-1_15.57.28,Close Comparative Connection, prediction add-on,38
u1,2018-6-1_15.54.16,Connection, prediction add-on,39
u1,2018-6-1_15.54.16,Connection, prediction add-on,40
u1,2018-6-1_15.57.55,Connection, prediction add-on,41
u1,2018-6-1_15.54.8,Close Comparative Connection, prediction add-on,42
u1,2018-6-1_15.54.19,Close Connection, prediction add-on,43
